timestamp,tds_v,tempC,ph_v
19,1.87903,16.500,6.04355
20,1.88871,16.500,6.03871
20,1.88387,16.500,6.03548
21,1.89355,16.500,6.04677
21,1.88548,16.500,6.04194
22,1.90161,16.500,6.03871
23,1.89355,16.500,6.04355
23,1.88871,16.500,6.03387
24,1.89677,16.500,6.03387
25,1.88710,16.500,6.04677
25,1.88710,16.500,6.03871
26,1.89677,16.500,6.03387
26,1.89194,16.500,6.04032
27,1.89355,16.500,6.04032
28,1.88065,16.500,6.03548
28,1.88710,16.500,6.03065
29,1.87258,16.500,6.04516
29,1.88710,16.500,6.04516
30,1.88710,16.500,6.03710
31,1.89194,16.500,6.04677
31,1.90323,16.500,6.04032
32,1.88710,16.500,6.03871
32,1.89032,16.500,6.04032
33,1.88710,16.500,6.03548
34,1.89194,16.500,6.03548
34,1.88226,16.500,6.03226
35,1.86129,16.500,6.04032
35,1.89355,16.500,6.04677
36,1.86452,16.500,6.03065
37,1.88710,16.500,6.03548
37,1.88226,16.500,6.04032
38,1.88710,16.500,6.03226
38,1.88226,16.500,6.05000
39,1.89032,16.500,6.03710
40,1.89032,16.500,6.03226
40,1.88710,16.500,6.03548
41,1.88871,16.500,6.03871
42,1.88710,16.500,6.04516
42,1.89194,16.500,6.04194
43,1.88710,16.500,6.03710
43,1.88065,16.500,6.03548
44,1.89677,16.500,6.03871
45,1.88065,16.500,6.04355
45,1.88871,16.500,6.04355
46,1.88710,16.500,6.04032
46,1.88710,16.500,6.03387
47,1.88387,16.500,6.03871
48,1.89677,16.500,6.03871
48,1.87903,16.500,6.03871
49,1.88387,16.500,6.04355
50,1.88387,16.500,6.03871
50,1.89194,16.500,6.03710
51,1.87419,16.500,6.03710
51,1.88548,16.500,6.03871
52,1.88871,16.500,6.03710
53,1.89355,16.500,6.03871
53,1.89355,16.500,6.03710
54,1.87903,16.500,6.04516
54,1.88710,16.500,6.03871
55,1.89677,16.500,6.03871
56,1.88710,16.500,6.04194
56,1.88226,16.500,6.04194
56,1.88065,16.500,6.03871
56,1.89194,16.500,6.03871
57,1.87419,16.500,6.03387
58,1.88871,16.500,6.04194
58,1.88710,16.500,6.03710
59,1.88226,16.500,6.03710
59,1.88065,16.500,6.04516
60,1.89032,16.500,6.04194
61,1.87258,16.500,6.03710
61,1.89677,16.500,6.03710
62,1.89839,16.500,6.04194
62,1.88387,16.500,6.03710
63,1.90806,16.500,6.03065
64,1.88710,16.500,6.03065
64,1.88710,16.500,6.04516
65,1.88710,16.500,6.04355
66,1.89355,16.500,6.02903
66,1.88548,16.500,6.03548
67,1.88871,16.500,6.03548
67,1.89194,16.500,6.03710
68,1.88871,16.500,6.04839
69,1.89032,16.500,6.03387
69,1.89194,16.500,6.03548
70,1.88226,16.500,6.03387
70,1.88710,16.500,6.03226
71,1.84677,16.500,6.04032
72,1.89677,16.500,6.03710
72,1.88548,16.500,6.04032
73,1.89516,16.500,6.03387
73,1.89032,16.500,6.04194
74,1.88548,16.500,6.04194
75,1.89677,16.500,6.03226
75,1.89194,16.500,6.03871
76,1.88387,16.500,6.03710
76,1.89355,16.500,6.04194
77,1.89355,16.500,6.05000
78,1.89032,16.500,6.04355
78,1.89194,16.500,6.03710
79,1.89194,16.500,6.03710
79,1.85484,16.500,6.03710
80,1.88548,16.500,6.03871
81,1.88387,16.500,6.04194
81,1.88548,16.500,6.04355
82,1.89194,16.500,6.03710
82,1.89355,16.500,6.03387
83,1.88387,16.500,6.04032
84,1.88871,16.500,6.04194
84,1.89194,16.500,6.04355
85,1.88387,16.500,6.04032
86,1.88871,16.500,6.03548
86,1.89677,16.500,6.04355
87,1.86935,16.500,6.03548
87,1.89032,16.500,6.03710
88,1.88871,16.500,6.04194
89,1.88710,16.500,6.03387
89,1.88871,16.500,6.03710
90,1.88548,16.500,6.04194
90,1.88226,16.500,6.02903
91,1.88226,16.500,6.03548
92,1.89355,16.500,6.04032
92,1.90323,16.500,6.03226
93,1.88871,16.500,6.03387
93,1.89032,16.500,6.03548
94,1.87903,16.500,6.04194
