timestamp,tds_v,tempC,ph_v
19,1.88871,16.500,6.03871
20,1.88710,16.500,6.03226
20,1.89032,16.500,6.04355
21,1.89677,16.500,6.04677
22,1.89194,16.500,6.04032
22,1.88387,16.500,6.03871
23,1.88548,16.500,6.04194
24,1.89032,16.500,6.03871
24,1.89032,16.500,6.04194
25,1.87742,16.500,6.04839
25,1.88710,16.500,6.03065
26,1.87742,16.500,6.04032
27,1.89032,16.500,6.03871
27,1.88710,16.500,6.04194
28,1.88226,16.500,6.04677
28,1.88065,16.500,6.03871
29,1.88226,16.500,6.03548
30,1.88548,16.500,6.03548
30,1.91935,16.500,6.04032
31,1.88871,16.500,6.04355
31,1.88548,16.500,6.04194
32,1.90323,16.500,6.03871
32,1.89355,16.500,6.04194
32,1.89516,16.500,6.03871
33,1.89194,16.500,6.04516
33,1.90968,16.500,6.04355
34,1.88710,16.500,6.03548
35,1.89032,16.500,6.04032
35,1.87903,16.500,6.04355
36,1.88387,16.500,6.03548
37,1.89194,16.500,6.03871
37,1.90000,16.500,6.03710
38,1.88387,16.500,6.03548
38,1.88387,16.500,6.03710
39,1.89032,16.500,6.04355
40,1.88871,16.500,6.04032
40,1.89194,16.500,6.03871
41,1.88871,16.500,6.03387
41,1.89677,16.500,6.04032
42,1.88548,16.500,6.03871
43,1.88871,16.500,6.03710
43,1.88548,16.500,6.04355
44,1.88871,16.500,6.03710
44,1.88387,16.500,6.03548
45,1.88710,16.500,6.04839
46,1.88548,16.500,6.03710
46,1.89194,16.500,6.03871
47,1.89677,16.500,6.03548
47,1.88710,16.500,6.03710
48,1.87742,16.500,6.04194
49,1.89194,16.500,6.03710
49,1.87258,16.500,6.03548
50,1.89516,16.500,6.03226
50,1.88387,16.500,6.03710
51,1.90161,16.500,6.04516
52,1.88710,16.500,6.03710
52,1.88387,16.500,6.03710
53,1.89194,16.500,6.03710
54,1.89032,16.500,6.03548
54,1.90161,16.500,6.04032
55,1.88226,16.500,6.03710
55,1.88387,16.500,6.03387
56,1.89355,16.500,6.04194
57,1.88871,16.500,6.04032
57,1.89355,16.500,6.03710
58,1.89194,16.500,6.03710
58,1.89032,16.500,6.04032
59,1.89677,16.500,6.03387
60,1.90323,16.500,6.03710
60,1.88871,16.500,6.04355
61,1.88387,16.500,6.03710
61,1.89194,16.500,6.04032
62,1.89032,16.500,6.04032
63,1.89194,16.500,6.03871
63,1.89355,16.500,6.04032
64,1.88710,16.500,6.04032
64,1.88226,16.500,6.04516
65,1.89032,16.500,6.04032
66,1.88548,16.500,6.04194
66,1.88871,16.500,6.04839
67,1.88710,16.500,6.04032
67,1.89032,16.500,6.03871
68,1.87903,16.500,6.04032
69,1.88710,16.500,6.03871
69,1.88387,16.500,6.04839
70,1.88548,16.500,6.04194
70,1.89032,16.500,6.03710
71,1.89355,16.500,6.04516
72,1.89032,16.500,6.04194
72,1.88548,16.500,6.04677
73,1.88871,16.500,6.03871
74,1.89194,16.500,6.04516
74,1.89355,16.500,6.04194
74,1.88710,16.500,6.03548
74,1.89194,16.500,6.04032
75,1.88387,16.500,6.03871
76,1.88548,16.500,6.04032
76,1.90484,16.500,6.03710
77,1.88871,16.500,6.03387
77,1.91290,16.500,6.03871
78,1.88065,16.500,6.04032
79,1.89516,16.500,6.04677
79,1.88710,16.500,6.04194
80,1.88871,16.500,6.03548
80,1.87742,16.500,6.04032
81,1.88710,16.500,6.03710
82,1.88387,16.500,6.03548
82,1.88065,16.500,6.04194
83,1.89355,16.500,6.03710
83,1.88226,16.500,6.03710
84,1.89032,16.500,6.04516
85,1.89032,16.500,6.03548
85,1.88548,16.500,6.04032
86,1.88548,16.500,6.04032
86,1.88548,16.500,6.04032
87,1.89194,16.500,6.03871
88,1.88548,16.500,6.04032
88,1.88548,16.500,6.04194
89,1.88710,16.500,6.03871
89,1.88871,16.500,6.03548
90,1.88387,16.500,6.04194
91,1.89194,16.500,6.04032
91,1.89194,16.500,6.05161
92,1.89032,16.500,6.04355
93,1.87258,16.500,6.04516
93,1.88710,16.500,6.03871
94,1.89194,16.500,6.04355
