timestamp,tds_v,tempC,ph_v
19,1.12258,17.000,6.03871
19,1.13226,17.000,6.04194
20,1.12097,17.000,6.03548
21,1.11935,17.000,6.03548
21,1.12097,17.000,6.04032
22,1.12419,17.000,6.03871
22,1.12258,17.000,6.03226
23,1.12097,17.000,6.04355
24,1.10968,17.000,6.03548
24,1.13548,17.000,6.03710
25,1.12097,17.000,6.03548
25,1.08548,17.000,6.03710
26,1.12097,17.000,6.03548
27,1.12097,17.000,6.03871
27,1.12097,17.000,6.03387
28,1.11613,17.000,6.04355
28,1.12742,17.000,6.03387
29,1.12419,17.000,6.03065
30,1.11935,17.000,6.03710
30,1.11774,17.000,6.03710
31,1.12097,17.000,6.03710
31,1.11774,17.000,6.03226
32,1.12258,17.000,6.03710
33,1.11774,17.000,6.04194
33,1.11290,17.000,6.03065
34,1.12419,17.000,6.04355
34,1.09194,17.000,6.04355
35,1.12097,17.000,6.03710
36,1.12097,17.000,6.03226
36,1.14032,17.000,6.03065
37,1.12258,17.000,6.02742
37,1.12742,17.000,6.03710
38,1.09032,17.000,6.03871
39,1.11935,17.000,6.03387
39,1.12258,17.000,6.04516
40,1.12097,17.000,6.03226
40,1.11935,17.000,6.03226
41,1.12581,17.000,6.04032
42,1.12258,17.000,6.04032
42,1.12097,17.000,6.04032
43,1.10484,17.000,6.03387
43,1.12581,17.000,6.03548
43,1.10806,17.000,6.04516
44,1.11613,17.000,6.03548
44,1.12097,17.000,6.03387
45,1.12419,17.000,6.03548
46,1.11935,17.000,6.03710
46,1.11290,17.000,6.04194
47,1.12097,17.000,6.03065
47,1.12419,17.000,6.03548
48,1.12258,17.000,6.04032
49,1.10161,17.000,6.03710
49,1.11774,17.000,6.03871
50,1.12097,17.000,6.04032
50,1.12258,17.000,6.03226
51,1.12097,17.000,6.03871
52,1.12581,17.000,6.03871
52,1.12419,17.000,6.04516
53,1.12258,17.000,6.03387
53,1.10645,17.000,6.03871
54,1.12097,17.000,6.03226
55,1.12742,17.000,6.02742
55,1.11935,17.000,6.03710
56,1.12097,17.000,6.03387
56,1.10000,17.000,6.03548
57,1.11935,17.000,6.03548
58,1.11613,17.000,6.03387
58,1.09032,17.000,6.03871
59,1.13065,17.000,6.03548
59,1.12419,17.000,6.03226
60,1.11774,17.000,6.03710
61,1.11935,17.000,6.03871
61,1.12258,17.000,6.03710
62,1.11935,17.000,6.03871
62,1.13065,17.000,6.03387
63,1.12581,17.000,6.03871
64,1.11290,17.000,6.03065
64,1.11774,17.000,6.04194
65,1.11935,17.000,6.03387
65,1.12419,17.000,6.03065
66,1.12581,17.000,6.03387
67,1.12581,17.000,6.03710
67,1.12258,17.000,6.03710
68,1.11452,17.000,6.03871
68,1.09355,17.000,6.03871
69,1.12097,17.000,6.03710
70,1.12581,17.000,6.03065
70,1.11613,17.000,6.04355
71,1.11613,17.000,6.04194
71,1.11452,17.000,6.03871
72,1.11613,17.000,6.03387
73,1.12258,17.000,6.03387
73,1.12258,17.000,6.03548
74,1.12742,17.000,6.03548
75,1.12258,17.000,6.03226
75,1.11774,17.000,6.03548
76,1.12581,17.000,6.04194
76,1.11613,17.000,6.03548
77,1.11774,17.000,6.03226
78,1.12742,17.000,6.03710
78,1.12419,17.000,6.03710
79,1.11935,17.000,6.03871
79,1.11290,17.000,6.03548
80,1.14839,17.000,6.03710
81,1.11774,17.000,6.04194
81,1.11613,17.000,6.03226
82,1.11774,17.000,6.03871
82,1.12097,17.000,6.03710
83,1.12419,17.000,6.03065
84,1.11935,17.000,6.03548
84,1.12419,17.000,6.03548
85,1.11774,17.000,6.03226
85,1.11774,17.000,6.04032
85,1.13065,17.000,6.03065
86,1.12097,17.000,6.03387
86,1.12742,17.000,6.03065
87,1.12903,17.000,6.03710
87,1.15484,17.000,6.03226
88,1.12903,17.000,6.04032
89,1.13226,17.000,6.03871
89,1.12903,17.000,6.04516
90,1.12258,17.000,6.03065
90,1.12581,17.000,6.04194
91,1.11613,17.000,6.03710
92,1.10484,17.000,6.03387
92,1.11935,17.000,6.04516
93,1.12258,17.000,6.03548
94,1.11935,17.000,6.04194
