timestamp,tds_v,tempC,ph_v
20,1.91613,16.500,6.03548
21,1.91935,16.500,6.03387
21,1.91290,16.500,6.03065
22,1.91129,16.500,6.04032
23,1.91129,16.500,6.04677
23,1.91129,16.500,6.04032
24,1.91290,16.500,6.03387
24,1.91129,16.500,6.03710
25,1.91774,16.500,6.03387
26,1.90806,16.500,6.04516
26,1.90968,16.500,6.03226
27,1.91774,16.500,6.03387
27,1.91290,16.500,6.03871
28,1.91129,16.500,6.04032
29,1.90484,16.500,6.03226
29,1.91613,16.500,6.03548
30,1.91290,16.500,6.02903
31,1.91613,16.500,6.03710
31,1.91935,16.500,6.04032
31,1.91129,16.500,6.04032
31,1.90806,16.500,6.03548
32,1.91452,16.500,6.04194
33,1.90484,16.500,6.03226
33,1.91452,16.500,6.04032
34,1.91613,16.500,6.04032
34,1.91452,16.500,6.04516
35,1.90968,16.500,6.03387
36,1.90968,16.500,6.04194
36,1.90968,16.500,6.04355
37,1.91129,16.500,6.04516
37,1.91613,16.500,6.03548
38,1.92097,16.500,6.04677
39,1.91452,16.500,6.04355
39,1.92097,16.500,6.04839
40,1.90645,16.500,6.04032
41,1.91935,16.500,6.03710
41,1.91613,16.500,6.04032
42,1.88226,16.500,6.04355
42,1.90968,16.500,6.04677
43,1.91613,16.500,6.04839
44,1.90968,16.500,6.03710
44,1.91774,16.500,6.03710
45,1.91452,16.500,6.04355
45,1.91935,16.500,6.04677
46,1.91935,16.500,6.03710
47,1.92097,16.500,6.03548
47,1.92097,16.500,6.03548
48,1.90806,16.500,6.04516
48,1.91774,16.500,6.04032
49,1.90645,16.500,6.04677
50,1.91774,16.500,6.03065
50,1.91774,16.500,6.04355
51,1.91613,16.500,6.03710
51,1.91129,16.500,6.03548
52,1.92419,16.500,6.04032
53,1.91774,16.500,6.03710
53,1.91452,16.500,6.03710
54,1.91452,16.500,6.04032
54,1.88710,16.500,6.04516
55,1.91290,16.500,6.04032
56,1.91129,16.500,6.04194
56,1.91452,16.500,6.03871
57,1.91452,16.500,6.03710
58,1.91613,16.500,6.04032
58,1.91129,16.500,6.05000
59,1.91613,16.500,6.04194
59,1.90968,16.500,6.04032
60,1.91452,16.500,6.03387
61,1.91452,16.500,6.03871
61,1.91452,16.500,6.04194
62,1.91613,16.500,6.03548
62,1.90806,16.500,6.04355
63,1.91290,16.500,6.03710
63,1.91129,16.500,6.03548
64,1.91129,16.500,6.04194
65,1.91774,16.500,6.03710
65,1.91774,16.500,6.04032
66,1.91613,16.500,6.04355
66,1.92097,16.500,6.04677
