timestamp,tds_v,tempC,ph_v
19,1.94677,16.500,6.04032
19,1.93710,16.500,6.03387
20,1.94355,16.500,6.03871
21,1.93710,16.500,6.03387
21,1.93871,16.500,6.04032
22,1.93548,16.500,6.04032
22,1.93387,16.500,6.03387
23,1.94194,16.500,6.04032
24,1.94839,16.500,6.03710
24,1.92419,16.500,6.03710
25,1.93710,16.500,6.03710
25,1.94032,16.500,6.03226
26,1.93065,16.500,6.04355
27,1.93226,16.500,6.03710
27,1.93710,16.500,6.04194
28,1.94032,16.500,6.03710
28,1.93871,16.500,6.03387
29,1.94355,16.500,6.03710
30,1.94032,16.500,6.03710
30,1.93871,16.500,6.03710
31,1.93226,16.500,6.03548
31,1.93871,16.500,6.03548
32,1.93871,16.500,6.03871
33,1.93871,16.500,6.03871
33,1.93226,16.500,6.04194
34,1.93387,16.500,6.03710
35,1.93548,16.500,6.02903
35,1.93548,16.500,6.03871
36,1.91129,16.500,6.03226
36,1.93387,16.500,6.02742
37,1.93226,16.500,6.03065
38,1.93548,16.500,6.03226
38,1.94032,16.500,6.03871
39,1.93710,16.500,6.03710
39,1.93710,16.500,6.03226
40,1.96774,16.500,6.03548
41,1.94032,16.500,6.03387
41,1.94032,16.500,6.02903
42,1.93387,16.500,6.03548
42,1.93548,16.500,6.03710
43,1.94516,16.500,6.03226
44,1.93710,16.500,6.03226
44,1.93387,16.500,6.03710
45,1.93226,16.500,6.03387
45,1.93710,16.500,6.03548
46,1.93710,16.500,6.02903
47,1.94194,16.500,6.03548
47,1.93548,16.500,6.03387
48,1.93710,16.500,6.03710
48,1.93226,16.500,6.04194
49,1.93710,16.500,6.03871
50,1.93387,16.500,6.03548
50,1.93548,16.500,6.02742
51,1.93710,16.500,6.03226
52,1.93871,16.500,6.04516
52,1.94032,16.500,6.03710
53,1.93871,16.500,6.03710
53,1.93871,16.500,6.05000
54,1.93871,16.500,6.03548
55,1.94032,16.500,6.03871
55,1.94194,16.500,6.03710
56,1.93226,16.500,6.03387
56,1.92419,16.500,6.04677
57,1.93065,16.500,6.03226
58,1.93548,16.500,6.03226
58,1.93710,16.500,6.03226
59,1.93871,16.500,6.03548
59,1.93548,16.500,6.04032
60,1.94032,16.500,6.03065
61,1.93548,16.500,6.03387
61,1.93871,16.500,6.03387
61,1.93871,16.500,6.03065
61,1.93871,16.500,6.03710
62,1.93387,16.500,6.03387
63,1.94194,16.500,6.03387
63,1.93871,16.500,6.03548
64,1.94194,16.500,6.03710
65,1.93226,16.500,6.03710
65,1.94839,16.500,6.03871
66,1.93065,16.500,6.03548
66,1.93871,16.500,6.03387
67,1.94194,16.500,6.03226
68,1.93871,16.500,6.04355
68,1.93226,16.500,6.03548
69,1.93871,16.500,6.03226
70,1.93387,16.500,6.02903
70,1.93548,16.500,6.03710
71,1.90968,16.500,6.04677
71,1.94194,16.500,6.04355
72,1.93548,16.500,6.04032
73,1.93871,16.500,6.04032
73,1.93710,16.500,6.03710
74,1.92742,16.500,6.03871
74,1.93548,16.500,6.03710
75,1.94839,16.500,6.03710
76,1.94032,16.500,6.04194
76,1.93548,16.500,6.03226
77,1.93548,16.500,6.03226
77,1.94032,16.500,6.03226
78,1.93710,16.500,6.03226
79,1.93226,16.500,6.03226
79,1.92097,16.500,6.03548
80,1.94194,16.500,6.03710
80,1.93065,16.500,6.03226
81,1.93710,16.500,6.03226
82,1.93871,16.500,6.03065
82,1.93387,16.500,6.03387
83,1.93548,16.500,6.03710
83,1.93226,16.500,6.03710
84,1.93548,16.500,6.03548
85,1.93226,16.500,6.03065
85,1.90000,16.500,6.04032
86,1.92419,16.500,6.03710
86,1.93548,16.500,6.03871
87,1.93226,16.500,6.03710
88,1.93065,16.500,6.03387
88,1.93387,16.500,6.02581
89,1.94677,16.500,6.03871
90,1.93387,16.500,6.03871
90,1.93387,16.500,6.03226
91,1.94032,16.500,6.03710
91,1.91935,16.500,6.03387
92,1.93871,16.500,6.03710
93,1.93871,16.500,6.03710
93,1.93548,16.500,6.03387
94,1.93387,16.500,6.03226
