timestamp,tds_v,tempC,ph_v
20,1.11774,17.000,6.03548
20,1.12258,17.000,6.03710
21,1.12419,17.000,6.03871
22,1.11452,17.000,6.03710
22,1.11774,17.000,6.04032
23,1.11935,17.000,6.03710
23,1.11452,17.000,6.03871
24,1.12903,17.000,6.03871
25,1.12097,17.000,6.03710
25,1.12581,17.000,6.03548
26,1.12903,17.000,6.03548
26,1.11613,17.000,6.04677
27,1.11774,17.000,6.03871
28,1.12097,17.000,6.03710
28,1.12097,17.000,6.03387
29,1.11774,17.000,6.03548
29,1.11935,17.000,6.03548
30,1.11452,17.000,6.04194
31,1.12419,17.000,6.04355
31,1.12258,17.000,6.03226
32,1.12097,17.000,6.03387
32,1.12419,17.000,6.03710
33,1.12419,17.000,6.02903
34,1.12903,17.000,6.03871
34,1.12097,17.000,6.03871
35,1.12903,17.000,6.03548
36,1.12419,17.000,6.03387
36,1.12742,17.000,6.04032
37,1.12419,17.000,6.03226
37,1.11935,17.000,6.04194
38,1.12581,17.000,6.03226
39,1.11774,17.000,6.03710
39,1.11935,17.000,6.03548
39,1.12258,17.000,6.03548
39,1.12581,17.000,6.03710
40,1.08226,17.000,6.04032
41,1.11935,17.000,6.03871
41,1.11613,17.000,6.04516
42,1.11774,17.000,6.04194
42,1.12258,17.000,6.03871
43,1.11935,17.000,6.03871
44,1.12097,17.000,6.04032
44,1.12581,17.000,6.04194
45,1.13065,17.000,6.03871
45,1.12742,17.000,6.04032
46,1.11935,17.000,6.03710
47,1.12258,17.000,6.04032
47,1.12581,17.000,6.05000
48,1.11290,17.000,6.03065
48,1.11774,17.000,6.04355
49,1.12581,17.000,6.03871
50,1.13387,17.000,6.03226
50,1.11613,17.000,6.03548
51,1.11935,17.000,6.04032
51,1.12258,17.000,6.03548
52,1.12097,17.000,6.03548
53,1.12258,17.000,6.04194
53,1.12903,17.000,6.04032
54,1.12258,17.000,6.03710
54,1.13065,17.000,6.03871
55,1.12258,17.000,6.03548
56,1.12097,17.000,6.03548
56,1.12258,17.000,6.04032
57,1.11613,17.000,6.04032
57,1.11452,17.000,6.04194
58,1.11935,17.000,6.03871
59,1.12581,17.000,6.04355
59,1.11290,17.000,6.04194
60,1.12581,17.000,6.03387
60,1.12581,17.000,6.03548
61,1.11935,17.000,6.03226
62,1.11290,17.000,6.03226
62,1.11935,17.000,6.04194
63,1.11774,17.000,6.03387
63,1.13226,17.000,6.04032
64,1.12903,17.000,6.04032
65,1.11935,17.000,6.03548
65,1.12581,17.000,6.03226
66,1.11452,17.000,6.03710
67,1.11774,17.000,6.03387
67,1.11774,17.000,6.03387
68,1.12419,17.000,6.03387
68,1.11613,17.000,6.04194
69,1.12097,17.000,6.04194
70,1.11935,17.000,6.02903
70,1.12258,17.000,6.03871
71,1.13710,17.000,6.03871
71,1.12258,17.000,6.04355
72,1.12097,17.000,6.04194
73,1.11452,17.000,6.03871
73,1.12419,17.000,6.04194
74,1.12742,17.000,6.04355
74,1.11774,17.000,6.03226
75,1.14355,17.000,6.03548
76,1.12419,17.000,6.04032
76,1.12581,17.000,6.04194
77,1.11613,17.000,6.03387
77,1.15161,17.000,6.03871
78,1.13065,17.000,6.03548
79,1.12581,17.000,6.02742
79,1.13226,17.000,6.03387
80,1.11774,17.000,6.04355
80,1.12258,17.000,6.03871
81,1.12581,17.000,6.04032
81,1.12419,17.000,6.03710
81,1.12903,17.000,6.03387
82,1.12419,17.000,6.04032
82,1.12581,17.000,6.03548
83,1.12097,17.000,6.04032
84,1.11613,17.000,6.03548
84,1.12097,17.000,6.04032
85,1.12097,17.000,6.03387
85,1.12258,17.000,6.03710
86,1.12258,17.000,6.03871
87,1.12258,17.000,6.03226
87,1.12258,17.000,6.04355
88,1.11774,17.000,6.03710
88,1.12419,17.000,6.03871
89,1.12581,17.000,6.04355
90,1.12419,17.000,6.03710
90,1.11452,17.000,6.04516
91,1.12581,17.000,6.03871
91,1.12742,17.000,6.03548
92,1.10645,17.000,6.03871
93,1.13226,17.000,6.03871
93,1.15323,17.000,6.05000
94,1.12742,17.000,6.03226
