timestamp,tds_v,tempC,ph_v
19,1.89032,16.500,6.03710
20,1.89194,16.500,6.03871
20,1.89355,16.500,6.04032
21,1.88387,16.500,6.04194
21,1.89516,16.500,6.04677
22,1.86452,16.500,6.03871
23,1.88710,16.500,6.04516
23,1.89839,16.500,6.03871
24,1.89355,16.500,6.04194
24,1.89677,16.500,6.04677
25,1.89032,16.500,6.03871
26,1.89355,16.500,6.03548
26,1.88548,16.500,6.03226
27,1.89032,16.500,6.03871
27,1.89677,16.500,6.03548
28,1.88065,16.500,6.03387
29,1.89032,16.500,6.02903
29,1.88871,16.500,6.04032
30,1.89677,16.500,6.03871
30,1.85645,16.500,6.03226
31,1.89194,16.500,6.02903
32,1.89516,16.500,6.03387
32,1.88871,16.500,6.03226
33,1.89194,16.500,6.03548
34,1.88065,16.500,6.03710
34,1.89194,16.500,6.03226
35,1.89194,16.500,6.03871
35,1.89032,16.500,6.03226
36,1.89677,16.500,6.04032
37,1.88710,16.500,6.05000
37,1.90806,16.500,6.03710
38,1.88710,16.500,6.03065
38,1.89516,16.500,6.03871
39,1.90161,16.500,6.03226
40,1.89677,16.500,6.03710
40,1.89032,16.500,6.03710
41,1.89516,16.500,6.03387
42,1.88871,16.500,6.04516
42,1.89194,16.500,6.03226
43,1.88710,16.500,6.04032
43,1.89677,16.500,6.03387
44,1.90000,16.500,6.04194
45,1.89677,16.500,6.03065
45,1.89194,16.500,6.03871
46,1.89032,16.500,6.03871
46,1.88065,16.500,6.03710
47,1.88710,16.500,6.03871
48,1.89194,16.500,6.03710
48,1.87419,16.500,6.04032
49,1.89194,16.500,6.04516
49,1.88871,16.500,6.04032
49,1.88548,16.500,6.03710
50,1.89516,16.500,6.02903
50,1.90000,16.500,6.03548
51,1.87903,16.500,6.04677
51,1.89355,16.500,6.03710
52,1.89032,16.500,6.04194
53,1.89032,16.500,6.03710
53,1.90000,16.500,6.04194
54,1.88710,16.500,6.04355
55,1.89516,16.500,6.04032
55,1.89516,16.500,6.03548
56,1.88548,16.500,6.03226
56,1.89677,16.500,6.03548
57,1.88548,16.500,6.03871
58,1.89032,16.500,6.03548
58,1.89032,16.500,6.02742
59,1.89032,16.500,6.03710
59,1.89516,16.500,6.03387
60,1.90000,16.500,6.03548
61,1.89032,16.500,6.04194
61,1.89355,16.500,6.04194
62,1.90000,16.500,6.04194
62,1.89355,16.500,6.03548
63,1.88871,16.500,6.03871
64,1.90161,16.500,6.03871
64,1.88548,16.500,6.03548
65,1.88871,16.500,6.03710
65,1.89839,16.500,6.03710
66,1.89355,16.500,6.04194
67,1.86613,16.500,6.03871
67,1.88387,16.500,6.03710
68,1.88710,16.500,6.03710
69,1.88387,16.500,6.03065
69,1.89516,16.500,6.04516
70,1.87742,16.500,6.03871
70,1.89032,16.500,6.03871
71,1.89839,16.500,6.03065
72,1.89032,16.500,6.03871
72,1.91613,16.500,6.04194
73,1.89516,16.500,6.04355
73,1.89194,16.500,6.03226
74,1.89194,16.500,6.03387
75,1.89516,16.500,6.03871
75,1.88710,16.500,6.04194
76,1.86935,16.500,6.03065
76,1.89516,16.500,6.03548
77,1.89355,16.500,6.04355
78,1.89194,16.500,6.03226
78,1.89839,16.500,6.03548
79,1.88871,16.500,6.03387
79,1.88548,16.500,6.03710
80,1.89516,16.500,6.02581
81,1.88871,16.500,6.03871
81,1.87581,16.500,6.04032
82,1.89355,16.500,6.03226
82,1.89032,16.500,6.03871
83,1.88871,16.500,6.03226
84,1.89516,16.500,6.02742
84,1.88226,16.500,6.04032
85,1.88871,16.500,6.03065
85,1.89355,16.500,6.03871
86,1.88871,16.500,6.02903
87,1.89355,16.500,6.03387
87,1.89355,16.500,6.03387
88,1.89032,16.500,6.03226
88,1.89677,16.500,6.03387
89,1.89194,16.500,6.03065
90,1.89194,16.500,6.03065
90,1.88387,16.500,6.03387
91,1.88710,16.500,6.03548
91,1.89516,16.500,6.02742
91,1.89032,16.500,6.03871
92,1.88226,16.500,6.03871
92,1.88710,16.500,6.04516
93,1.89194,16.500,6.03871
94,1.88548,16.500,6.02581
