timestamp,tds_v,tempC,ph_v
20,1.90806,16.500,6.04355
20,1.92097,16.500,6.04839
21,1.91774,16.500,6.03710
22,1.87419,16.500,6.03710
22,1.92419,16.500,6.04355
23,1.91129,16.500,6.03548
24,1.91129,16.500,6.04032
24,1.91935,16.500,6.03871
25,1.91452,16.500,6.04194
25,1.91774,16.500,6.03387
26,1.92097,16.500,6.04032
26,1.92258,16.500,6.03710
26,1.90806,16.500,6.03226
27,1.91613,16.500,6.03548
27,1.91129,16.500,6.04032
28,1.92742,16.500,6.03548
29,1.91290,16.500,6.03387
29,1.91290,16.500,6.03710
30,1.91935,16.500,6.03710
30,1.91774,16.500,6.04194
31,1.91452,16.500,6.03387
32,1.91452,16.500,6.03548
32,1.91129,16.500,6.03387
33,1.91935,16.500,6.03710
34,1.91290,16.500,6.04355
34,1.91935,16.500,6.03065
35,1.91290,16.500,6.03548
35,1.92097,16.500,6.04194
36,1.91774,16.500,6.03710
37,1.91129,16.500,6.03710
37,1.91129,16.500,6.03871
38,1.91613,16.500,6.03387
38,1.92258,16.500,6.03387
39,1.91452,16.500,6.03710
40,1.90484,16.500,6.03871
40,1.91613,16.500,6.03871
41,1.92097,16.500,6.03226
41,1.91613,16.500,6.03710
42,1.92097,16.500,6.03548
43,1.91129,16.500,6.03871
43,1.91290,16.500,6.03387
44,1.91935,16.500,6.04032
45,1.92097,16.500,6.03387
45,1.91774,16.500,6.03710
46,1.91129,16.500,6.04677
46,1.91774,16.500,6.03387
47,1.92419,16.500,6.04032
48,1.91452,16.500,6.03871
48,1.92742,16.500,6.03710
49,1.90484,16.500,6.03871
49,1.91290,16.500,6.03226
50,1.91452,16.500,6.03387
51,1.90806,16.500,6.04516
51,1.92742,16.500,6.02903
52,1.92097,16.500,6.02903
52,1.91774,16.500,6.03387
53,1.91613,16.500,6.04032
54,1.92258,16.500,6.03226
54,1.92258,16.500,6.03710
55,1.91935,16.500,6.03548
55,1.89677,16.500,6.03226
56,1.91613,16.500,6.03065
57,1.91613,16.500,6.03548
57,1.91452,16.500,6.03548
58,1.91935,16.500,6.03710
59,1.92581,16.500,6.03065
59,1.92903,16.500,6.03548
60,1.92258,16.500,6.03871
60,1.92097,16.500,6.03387
61,1.91613,16.500,6.04194
62,1.91774,16.500,6.03387
62,1.91129,16.500,6.03548
63,1.91613,16.500,6.03710
63,1.91452,16.500,6.03548
64,1.92419,16.500,6.03710
65,1.92097,16.500,6.03710
65,1.88548,16.500,6.03710
66,1.92258,16.500,6.03710
66,1.91774,16.500,6.03710
67,1.92097,16.500,6.03548
67,1.91774,16.500,6.03548
67,1.91774,16.500,6.04516
68,1.92258,16.500,6.04032
68,1.91613,16.500,6.03387
69,1.91935,16.500,6.03871
70,1.90968,16.500,6.04194
70,1.91129,16.500,6.04355
71,1.92258,16.500,6.04032
72,1.92419,16.500,6.03548
72,1.92419,16.500,6.03871
73,1.91613,16.500,6.03871
73,1.91935,16.500,6.03871
74,1.92419,16.500,6.03871
75,1.91290,16.500,6.04032
75,1.91774,16.500,6.03710
76,1.91129,16.500,6.03710
76,1.90968,16.500,6.03226
77,1.92097,16.500,6.04839
78,1.92097,16.500,6.03871
78,1.91613,16.500,6.03548
79,1.91935,16.500,6.03548
79,1.92097,16.500,6.03871
80,1.90968,16.500,6.05000
81,1.91935,16.500,6.04032
81,1.91935,16.500,6.03710
82,1.92258,16.500,6.03710
82,1.91774,16.500,6.04032
83,1.91613,16.500,6.03548
84,1.91613,16.500,6.03387
84,1.92581,16.500,6.04194
85,1.92258,16.500,6.03710
85,1.91613,16.500,6.03871
86,1.91774,16.500,6.03871
87,1.92097,16.500,6.03710
87,1.92097,16.500,6.04032
88,1.91774,16.500,6.04677
89,1.91613,16.500,6.04032
89,1.91129,16.500,6.05000
90,1.90968,16.500,6.03710
90,1.89032,16.500,6.03871
91,1.92903,16.500,6.03710
92,1.91774,16.500,6.03871
92,1.91613,16.500,6.04516
93,1.92419,16.500,6.03548
93,1.91774,16.500,6.04516
94,1.91935,16.500,6.03387
