timestamp,tds_v,tempC,ph_v
19,1.12419,17.000,6.03710
19,1.12097,17.000,6.03871
20,1.11935,17.000,6.03871
21,1.11613,17.000,6.03710
21,1.12581,17.000,6.04677
22,1.12419,17.000,6.03387
22,1.12419,17.000,6.04516
23,1.13387,17.000,6.03065
24,1.12419,17.000,6.03871
24,1.11935,17.000,6.04839
25,1.12742,17.000,6.03065
25,1.11613,17.000,6.03548
26,1.11774,17.000,6.03871
27,1.12097,17.000,6.04032
27,1.10645,17.000,6.04032
28,1.12097,17.000,6.03871
28,1.13226,17.000,6.04032
29,1.12419,17.000,6.03871
30,1.11935,17.000,6.04194
30,1.12097,17.000,6.04032
31,1.11774,17.000,6.04032
32,1.11935,17.000,6.04032
32,1.12903,17.000,6.04032
33,1.12097,17.000,6.04516
33,1.13065,17.000,6.03710
34,1.12903,17.000,6.03871
35,1.12258,17.000,6.04355
35,1.11452,17.000,6.04516
36,1.12097,17.000,6.03226
36,1.15161,17.000,6.04032
37,1.11290,17.000,6.03226
38,1.11290,17.000,6.03548
38,1.12419,17.000,6.03548
39,1.12419,17.000,6.04032
39,1.13226,17.000,6.04032
40,1.12097,17.000,6.03387
41,1.12419,17.000,6.03548
41,1.12903,17.000,6.03710
42,1.11935,17.000,6.03387
42,1.12742,17.000,6.04194
43,1.12419,17.000,6.04032
44,1.12581,17.000,6.04032
44,1.11774,17.000,6.04355
45,1.11613,17.000,6.04194
45,1.11935,17.000,6.04194
46,1.12097,17.000,6.03548
47,1.11935,17.000,6.04032
47,1.12097,17.000,6.03387
48,1.12581,17.000,6.03387
49,1.12419,17.000,6.03387
49,1.11774,17.000,6.03226
50,1.13387,17.000,6.03871
50,1.12258,17.000,6.04839
51,1.12419,17.000,6.03226
52,1.12903,17.000,6.02903
52,1.13871,17.000,6.03548
53,1.12097,17.000,6.03871
53,1.11935,17.000,6.03710
54,1.12097,17.000,6.03226
55,1.12258,17.000,6.03710
55,1.11613,17.000,6.03548
55,1.11774,17.000,6.03871
55,1.12258,17.000,6.04194
56,1.11935,17.000,6.03871
57,1.12903,17.000,6.04032
57,1.12258,17.000,6.03871
58,1.12258,17.000,6.03387
59,1.11774,17.000,6.04032
59,1.11774,17.000,6.03710
60,1.12581,17.000,6.03871
60,1.12097,17.000,6.03387
61,1.12097,17.000,6.04194
62,1.12097,17.000,6.03226
62,1.12258,17.000,6.03226
63,1.11613,17.000,6.03387
63,1.11935,17.000,6.03065
64,1.12742,17.000,6.04194
65,1.11613,17.000,6.03387
65,1.11774,17.000,6.03710
66,1.12097,17.000,6.05000
66,1.12097,17.000,6.03710
67,1.12419,17.000,6.03871
68,1.12258,17.000,6.03710
68,1.12097,17.000,6.04032
69,1.12258,17.000,6.04516
69,1.13387,17.000,6.04355
70,1.12097,17.000,6.04194
71,1.12742,17.000,6.03710
71,1.11290,17.000,6.04194
72,1.11935,17.000,6.04355
73,1.10161,17.000,6.03871
73,1.12258,17.000,6.04194
74,1.13065,17.000,6.04032
74,1.11452,17.000,6.03548
75,1.11774,17.000,6.03871
76,1.12742,17.000,6.04516
76,1.11935,17.000,6.04194
77,1.11452,17.000,6.04677
77,1.10968,17.000,6.04032
78,1.12903,17.000,6.04677
79,1.14032,17.000,6.03548
79,1.11452,17.000,6.04355
80,1.12903,17.000,6.04355
80,1.11935,17.000,6.04194
81,1.12097,17.000,6.03871
82,1.11452,17.000,6.03548
82,1.11935,17.000,6.04355
83,1.12581,17.000,6.04839
83,1.11935,17.000,6.04516
84,1.12097,17.000,6.03871
85,1.12419,17.000,6.04516
85,1.12097,17.000,6.03710
86,1.12742,17.000,6.04839
86,1.12903,17.000,6.04032
87,1.11774,17.000,6.04194
88,1.12419,17.000,6.03710
88,1.12258,17.000,6.03548
89,1.12903,17.000,6.04839
89,1.11613,17.000,6.03710
90,1.12419,17.000,6.04355
91,1.12097,17.000,6.03548
91,1.11613,17.000,6.04355
92,1.13065,17.000,6.04032
92,1.13387,17.000,6.04355
93,1.11935,17.000,6.03710
94,1.11452,17.000,6.03871
