timestamp,tds_v,tempC,ph_v
20,1.12419,17.000,6.03387
20,1.12742,17.000,6.03548
21,1.11613,17.000,6.03871
22,1.11935,17.000,6.03548
22,1.11613,17.000,6.04032
23,1.11290,17.000,6.04032
23,1.12258,17.000,6.03710
24,1.11129,17.000,6.04194
25,1.10645,17.000,6.03871
25,1.11290,17.000,6.03548
26,1.12903,17.000,6.04032
26,1.10000,17.000,6.03548
27,1.11452,17.000,6.04194
28,1.12097,17.000,6.04355
28,1.11935,17.000,6.03710
29,1.10645,17.000,6.04032
29,1.12419,17.000,6.04355
30,1.12903,17.000,6.03387
31,1.12903,17.000,6.04032
31,1.11452,17.000,6.04194
32,1.13065,17.000,6.04032
32,1.12258,17.000,6.03710
32,1.11774,17.000,6.03548
33,1.13065,17.000,6.03871
33,1.11935,17.000,6.04194
34,1.12419,17.000,6.04032
35,1.11774,17.000,6.03871
35,1.12742,17.000,6.03871
36,1.12258,17.000,6.04194
36,1.13710,17.000,6.03710
37,1.11452,17.000,6.03710
38,1.12581,17.000,6.03548
38,1.12581,17.000,6.04677
39,1.12419,17.000,6.03710
39,1.11613,17.000,6.04032
40,1.12581,17.000,6.04516
41,1.12097,17.000,6.03548
41,1.12742,17.000,6.04516
42,1.12581,17.000,6.03387
42,1.12258,17.000,6.04355
43,1.12097,17.000,6.03548
44,1.11774,17.000,6.04355
44,1.12903,17.000,6.04194
45,1.12742,17.000,6.04355
45,1.12419,17.000,6.03871
46,1.12742,17.000,6.03387
47,1.12258,17.000,6.04677
47,1.11935,17.000,6.04677
48,1.11452,17.000,6.04194
48,1.11935,17.000,6.04355
49,1.13387,17.000,6.04194
50,1.12581,17.000,6.04032
50,1.12419,17.000,6.03871
51,1.11129,17.000,6.04032
51,1.11935,17.000,6.03065
52,1.12258,17.000,6.03548
53,1.12097,17.000,6.03226
53,1.12258,17.000,6.03871
54,1.13226,17.000,6.03871
54,1.12258,17.000,6.03548
55,1.12581,17.000,6.03548
56,1.11935,17.000,6.03710
56,1.10968,17.000,6.04032
57,1.08065,17.000,6.03548
58,1.12581,17.000,6.03710
58,1.11935,17.000,6.04194
59,1.13065,17.000,6.03871
59,1.12097,17.000,6.04516
60,1.11290,17.000,6.03710
61,1.11774,17.000,6.04032
61,1.12097,17.000,6.03871
62,1.11774,17.000,6.04355
62,1.12581,17.000,6.04355
63,1.12742,17.000,6.04032
64,1.12419,17.000,6.04677
64,1.11935,17.000,6.03548
65,1.12742,17.000,6.03548
65,1.12742,17.000,6.03710
66,1.12581,17.000,6.04194
67,1.11774,17.000,6.03871
67,1.12742,17.000,6.04194
68,1.12097,17.000,6.03710
68,1.11452,17.000,6.04032
69,1.12419,17.000,6.03871
70,1.12581,17.000,6.03871
70,1.17903,17.000,6.03871
71,1.11935,17.000,6.03871
71,1.12742,17.000,6.04677
72,1.12258,17.000,6.04194
73,1.12581,17.000,6.03387
73,1.11774,17.000,6.03871
74,1.11774,17.000,6.04516
74,1.11290,17.000,6.04194
74,1.12419,17.000,6.03548
75,1.12097,17.000,6.04032
75,1.11774,17.000,6.03710
76,1.12419,17.000,6.03871
76,1.12097,17.000,6.04032
77,1.11774,17.000,6.04032
78,1.11129,17.000,6.03548
78,1.12258,17.000,6.04032
79,1.12581,17.000,6.04032
79,1.12258,17.000,6.04194
80,1.11613,17.000,6.04032
81,1.11452,17.000,6.03710
81,1.12419,17.000,6.03548
82,1.12258,17.000,6.04194
82,1.11774,17.000,6.03710
83,1.11129,17.000,6.04194
84,1.11290,17.000,6.03548
84,1.12258,17.000,6.04677
85,1.12097,17.000,6.03226
86,1.11452,17.000,6.03387
86,1.12097,17.000,6.04194
87,1.10968,17.000,6.04516
87,1.11613,17.000,6.03871
88,1.12742,17.000,6.04355
89,1.12581,17.000,6.04032
89,1.12097,17.000,6.03871
90,1.13226,17.000,6.03871
90,1.12742,17.000,6.04355
91,1.12258,17.000,6.03871
92,1.12581,17.000,6.04194
92,1.11935,17.000,6.03710
93,1.11935,17.000,6.03710
93,1.12581,17.000,6.04516
94,1.12258,17.000,6.03548
