timestamp,tds_v,tempC,ph_v
19,1.11290,17.000,6.03710
19,1.11290,17.000,6.04516
20,1.11774,17.000,6.04516
21,1.11452,17.000,6.03871
21,1.11129,17.000,6.04355
22,1.11774,17.000,6.03065
22,1.10161,17.000,6.03710
23,1.11290,17.000,6.04516
24,1.12581,17.000,6.03548
24,1.11935,17.000,6.04355
25,1.14516,17.000,6.04032
25,1.10806,17.000,6.03871
26,1.11290,17.000,6.04032
27,1.11774,17.000,6.03871
27,1.10968,17.000,6.04032
28,1.11290,17.000,6.04032
28,1.06613,17.000,6.03710
29,1.11935,17.000,6.05484
30,1.12258,17.000,6.04355
30,1.12419,17.000,6.04677
31,1.11129,17.000,6.03548
31,1.11613,17.000,6.03710
32,1.12258,17.000,6.04194
33,1.12258,17.000,6.04677
33,1.11613,17.000,6.04677
34,1.11129,17.000,6.03548
34,1.11290,17.000,6.04355
35,1.12097,17.000,6.04032
36,1.11613,17.000,6.03548
36,1.11613,17.000,6.04032
37,1.11452,17.000,6.03387
37,1.12258,17.000,6.03871
38,1.11290,17.000,6.04032
39,1.11452,17.000,6.04194
39,1.10323,17.000,6.04355
40,1.11613,17.000,6.03387
41,1.11452,17.000,6.03710
41,1.12097,17.000,6.03710
42,1.11935,17.000,6.04194
42,1.12742,17.000,6.03710
43,1.11452,17.000,6.03871
44,1.11290,17.000,6.04194
44,1.09839,17.000,6.03871
45,1.11935,17.000,6.03710
45,1.12581,17.000,6.04032
45,1.12097,17.000,6.03871
46,1.11774,17.000,6.04516
46,1.11452,17.000,6.04032
47,1.11613,17.000,6.04194
47,1.11452,17.000,6.04355
48,1.09516,17.000,6.03548
49,1.12419,17.000,6.03871
49,1.11452,17.000,6.03710
50,1.11774,17.000,6.03710
50,1.12097,17.000,6.04677
51,1.11613,17.000,6.03548
52,1.11290,17.000,6.03065
52,1.12097,17.000,6.02903
53,1.11452,17.000,6.04032
53,1.12742,17.000,6.04032
54,1.11290,17.000,6.04355
55,1.11774,17.000,6.04516
55,1.11290,17.000,6.04355
56,1.11774,17.000,6.03710
56,1.11452,17.000,6.03871
57,1.11452,17.000,6.03710
58,1.12581,17.000,6.03710
58,1.11613,17.000,6.03871
59,1.11290,17.000,6.03387
59,1.11129,17.000,6.03548
60,1.11935,17.000,6.03548
61,1.10806,17.000,6.03710
61,1.10806,17.000,6.03548
62,1.12097,17.000,6.03548
62,1.08548,17.000,6.03548
63,1.11774,17.000,6.03710
64,1.11774,17.000,6.03548
64,1.11935,17.000,6.03548
65,1.12419,17.000,6.03387
66,1.12581,17.000,6.03710
66,1.11613,17.000,6.03387
67,1.12419,17.000,6.03226
67,1.11452,17.000,6.04032
68,1.11290,17.000,6.03710
69,1.11452,17.000,6.03871
69,1.11613,17.000,6.03548
70,1.11935,17.000,6.03871
70,1.11613,17.000,6.03387
71,1.12097,17.000,6.03065
72,1.10968,17.000,6.03710
72,1.11452,17.000,6.03710
73,1.13226,17.000,6.03548
73,1.11935,17.000,6.03871
74,1.12097,17.000,6.03226
75,1.11613,17.000,6.03871
75,1.12258,17.000,6.04194
76,1.11774,17.000,6.03710
76,1.11452,17.000,6.03871
77,1.11290,17.000,6.04032
78,1.11613,17.000,6.04194
78,1.11129,17.000,6.02742
79,1.11129,17.000,6.03710
80,1.12097,17.000,6.03871
80,1.10968,17.000,6.03871
81,1.12097,17.000,6.04194
81,1.11935,17.000,6.04194
82,1.11613,17.000,6.03871
83,1.11935,17.000,6.04032
83,1.12097,17.000,6.03710
84,1.12419,17.000,6.03226
84,1.12581,17.000,6.03226
85,1.11935,17.000,6.03710
86,1.11613,17.000,6.04194
86,1.11452,17.000,6.04032
87,1.11774,17.000,6.04516
87,1.11290,17.000,6.03226
87,1.10968,17.000,6.04032
87,1.11774,17.000,6.03871
88,1.11774,17.000,6.04194
89,1.11774,17.000,6.04194
89,1.11935,17.000,6.03871
90,1.11452,17.000,6.04032
90,1.12419,17.000,6.03710
91,1.10968,17.000,6.03871
91,1.11935,17.000,6.03871
92,1.11613,17.000,6.04194
