timestamp,tds_v,tempC,ph_v
20,1.11774,17.000,6.03710
21,1.11935,17.000,6.04355
21,1.11452,17.000,6.04355
22,1.11935,17.000,6.02903
22,1.12419,17.000,6.03871
23,1.11613,17.000,6.03065
24,1.10806,17.000,6.04194
24,1.11129,17.000,6.03548
25,1.11452,17.000,6.04194
25,1.10161,17.000,6.04516
26,1.11935,17.000,6.04516
27,1.11452,17.000,6.03710
27,1.11774,17.000,6.04032
27,1.10806,17.000,6.04355
27,1.10645,17.000,6.04839
28,1.11774,17.000,6.03226
29,1.12097,17.000,6.03871
29,1.11935,17.000,6.03710
30,1.10806,17.000,6.03387
30,1.12258,17.000,6.03871
31,1.11613,17.000,6.03871
32,1.11452,17.000,6.04032
32,1.11613,17.000,6.03065
33,1.10645,17.000,6.04355
33,1.12258,17.000,6.04194
34,1.11774,17.000,6.04194
35,1.11452,17.000,6.04355
35,1.11935,17.000,6.03548
36,1.11129,17.000,6.03387
37,1.10968,17.000,6.03710
37,1.12097,17.000,6.04032
38,1.11452,17.000,6.03710
38,1.11613,17.000,6.03871
39,1.11613,17.000,6.04194
40,1.11613,17.000,6.04355
40,1.12097,17.000,6.04194
41,1.10968,17.000,6.04194
41,1.11452,17.000,6.04677
42,1.11452,17.000,6.04677
43,1.11129,17.000,6.04677
43,1.13548,17.000,6.03548
44,1.11774,17.000,6.04194
44,1.11452,17.000,6.04194
45,1.11290,17.000,6.04032
46,1.11935,17.000,6.04032
46,1.10806,17.000,6.04516
47,1.11613,17.000,6.03871
47,1.11935,17.000,6.04355
48,1.11935,17.000,6.03226
49,1.11290,17.000,6.03871
49,1.11452,17.000,6.04677
50,1.12097,17.000,6.03387
50,1.11452,17.000,6.03710
51,1.10484,17.000,6.03387
52,1.12097,17.000,6.04516
52,1.11774,17.000,6.03548
53,1.11452,17.000,6.04032
53,1.11935,17.000,6.04194
54,1.11613,17.000,6.03710
55,1.11129,17.000,6.04194
55,1.11129,17.000,6.03387
56,1.11452,17.000,6.03871
57,1.11129,17.000,6.03065
57,1.10806,17.000,6.04032
58,1.11613,17.000,6.03710
58,1.11290,17.000,6.03871
59,1.11935,17.000,6.03871
60,1.11613,17.000,6.03871
60,1.11613,17.000,6.03065
61,1.11935,17.000,6.03226
61,1.12258,17.000,6.03387
62,1.11290,17.000,6.04032
62,1.11935,17.000,6.04839
63,1.11129,17.000,6.04194
64,1.10968,17.000,6.04032
64,1.11774,17.000,6.03871
65,1.12258,17.000,6.03710
65,1.12258,17.000,6.04194
66,1.11774,17.000,6.03871
67,1.10645,17.000,6.04032
67,1.11935,17.000,6.03548
68,1.10323,17.000,6.03226
68,1.12097,17.000,6.04355
69,1.11774,17.000,6.03548
69,1.11290,17.000,6.03871
69,1.12419,17.000,6.03871
70,1.11452,17.000,6.03710
71,1.12097,17.000,6.04194
71,1.11935,17.000,6.03710
72,1.11290,17.000,6.04516
72,1.11290,17.000,6.03871
73,1.12097,17.000,6.04032
74,1.11774,17.000,6.05161
74,1.11774,17.000,6.04032
75,1.11452,17.000,6.03548
75,1.11129,17.000,6.03387
76,1.11935,17.000,6.03387
77,1.11452,17.000,6.04355
77,1.11452,17.000,6.03871
78,1.11290,17.000,6.03548
79,1.11613,17.000,6.03548
79,1.10806,17.000,6.03387
80,1.12258,17.000,6.04355
80,1.12258,17.000,6.03226
81,1.11935,17.000,6.04194
82,1.10968,17.000,6.04194
82,1.11613,17.000,6.03710
83,1.11452,17.000,6.03871
83,1.11290,17.000,6.03387
84,1.11129,17.000,6.03710
85,1.12097,17.000,6.04194
85,1.10968,17.000,6.04355
86,1.10968,17.000,6.04677
86,1.11129,17.000,6.04032
87,1.11452,17.000,6.03065
88,1.12097,17.000,6.04032
88,1.11774,17.000,6.03710
89,1.12097,17.000,6.04355
89,1.10968,17.000,6.02903
90,1.11613,17.000,6.04032
91,1.11774,17.000,6.03387
91,1.11613,17.000,6.03710
92,1.09194,17.000,6.03548
92,1.11935,17.000,6.04194
93,1.11935,17.000,6.04032
94,1.11129,17.000,6.03548
