timestamp,tds_v,tempC,ph_v
19,1.11452,17.000,6.03710
19,1.12097,17.000,6.04032
20,1.11935,17.000,6.03871
21,1.11613,17.000,6.03226
21,1.10968,17.000,6.03226
22,1.11452,17.000,6.04355
22,1.11613,17.000,6.04194
23,1.07581,17.000,6.03710
24,1.11935,17.000,6.04032
24,1.11935,17.000,6.04355
25,1.11774,17.000,6.04032
25,1.11935,17.000,6.04839
26,1.11290,17.000,6.03871
27,1.11774,17.000,6.03548
27,1.12903,17.000,6.04355
28,1.11290,17.000,6.04355
28,1.12419,17.000,6.03710
29,1.11774,17.000,6.03548
30,1.11774,17.000,6.03226
30,1.11935,17.000,6.04032
31,1.11129,17.000,6.03387
32,1.11935,17.000,6.03871
32,1.12097,17.000,6.04032
33,1.11935,17.000,6.03710
33,1.11452,17.000,6.03710
34,1.12258,17.000,6.04516
35,1.12419,17.000,6.04032
35,1.12419,17.000,6.03548
36,1.15323,17.000,6.03871
37,1.11452,17.000,6.04194
37,1.11613,17.000,6.04194
38,1.10000,17.000,6.04032
38,1.11774,17.000,6.04194
39,1.11613,17.000,6.03065
40,1.11452,17.000,6.03871
40,1.12097,17.000,6.03710
41,1.11935,17.000,6.03710
41,1.11774,17.000,6.04032
42,1.11613,17.000,6.04032
43,1.12097,17.000,6.03871
43,1.11452,17.000,6.03871
44,1.12258,17.000,6.03710
44,1.12258,17.000,6.04032
45,1.11935,17.000,6.04355
46,1.11613,17.000,6.04032
46,1.11613,17.000,6.03226
47,1.11774,17.000,6.03548
47,1.11774,17.000,6.05323
48,1.15806,17.000,6.03871
49,1.11935,17.000,6.03548
49,1.11452,17.000,6.03548
50,1.12097,17.000,6.03548
50,1.11935,17.000,6.03871
51,1.11774,17.000,6.03871
52,1.11129,17.000,6.03871
52,1.12419,17.000,6.04032
53,1.11290,17.000,6.04032
53,1.12258,17.000,6.04032
54,1.11290,17.000,6.03387
55,1.12097,17.000,6.03548
55,1.11613,17.000,6.02903
56,1.11613,17.000,6.03710
56,1.11774,17.000,6.04032
57,1.10484,17.000,6.03710
57,1.08065,17.000,6.04194
57,1.11774,17.000,6.03871
58,1.11613,17.000,6.03871
59,1.12258,17.000,6.04516
59,1.11290,17.000,6.04194
60,1.12097,17.000,6.03387
60,1.11613,17.000,6.04355
61,1.11290,17.000,6.03871
62,1.11613,17.000,6.04516
62,1.12742,17.000,6.04194
63,1.11774,17.000,6.03226
63,1.11290,17.000,6.04194
64,1.12097,17.000,6.04194
65,1.12419,17.000,6.04194
65,1.11452,17.000,6.03710
66,1.11774,17.000,6.04194
66,1.11129,17.000,6.03871
67,1.12258,17.000,6.03710
68,1.11774,17.000,6.04355
68,1.11613,17.000,6.03871
69,1.11774,17.000,6.04032
69,1.11613,17.000,6.04194
70,1.12581,17.000,6.04355
71,1.11774,17.000,6.04677
71,1.11613,17.000,6.03871
72,1.11935,17.000,6.03548
73,1.11613,17.000,6.04032
73,1.11935,17.000,6.04032
74,1.11935,17.000,6.04516
74,1.11290,17.000,6.04194
75,1.11935,17.000,6.03548
76,1.10806,17.000,6.03226
76,1.10323,17.000,6.04032
77,1.12097,17.000,6.03871
77,1.11452,17.000,6.03387
78,1.11935,17.000,6.04516
79,1.11935,17.000,6.04032
79,1.12097,17.000,6.03548
80,1.11129,17.000,6.04194
80,1.14839,17.000,6.04032
81,1.12097,17.000,6.03548
82,1.11935,17.000,6.03710
82,1.12419,17.000,6.04355
83,1.12097,17.000,6.04194
83,1.10968,17.000,6.04032
84,1.11290,17.000,6.03710
85,1.11452,17.000,6.03710
85,1.12419,17.000,6.03226
86,1.11129,17.000,6.04194
86,1.11774,17.000,6.03387
87,1.11613,17.000,6.03871
88,1.11935,17.000,6.04516
88,1.12258,17.000,6.04032
89,1.12097,17.000,6.04839
89,1.11129,17.000,6.03871
90,1.11774,17.000,6.04194
91,1.11613,17.000,6.04032
91,1.11613,17.000,6.03387
92,1.11452,17.000,6.04677
92,1.10323,17.000,6.03548
93,1.11129,17.000,6.03710
94,1.11613,17.000,6.04032
