timestamp,tds_v,tempC,ph_v
20,1.94677,16.500,6.03710
21,1.95484,16.500,6.04355
21,1.94677,16.500,6.03387
21,1.95000,16.500,6.03548
21,1.95161,16.500,6.05000
22,1.95000,16.500,6.04355
23,1.95161,16.500,6.03548
23,1.94516,16.500,6.03387
24,1.95161,16.500,6.03387
24,1.91774,16.500,6.04194
25,1.95806,16.500,6.03871
26,1.94839,16.500,6.03871
26,1.94839,16.500,6.03710
27,1.94677,16.500,6.03387
27,1.94032,16.500,6.03871
28,1.94839,16.500,6.03710
29,1.94839,16.500,6.03710
29,1.94839,16.500,6.03387
30,1.94839,16.500,6.03387
30,1.94194,16.500,6.04032
31,1.95000,16.500,6.03871
32,1.95000,16.500,6.03871
32,1.95645,16.500,6.04032
33,1.94839,16.500,6.03226
34,1.95484,16.500,6.04516
34,1.95323,16.500,6.03548
35,1.95161,16.500,6.04677
36,1.95645,16.500,6.04032
36,1.94839,16.500,6.03710
37,1.94839,16.500,6.03871
37,1.94839,16.500,6.03387
38,1.94516,16.500,6.03710
39,1.95484,16.500,6.03548
39,1.93871,16.500,6.03710
40,1.95484,16.500,6.04516
40,1.95645,16.500,6.04355
41,1.94839,16.500,6.04355
42,1.95323,16.500,6.03387
42,1.94194,16.500,6.04677
43,1.96129,16.500,6.04677
43,1.95484,16.500,6.02742
44,1.94839,16.500,6.04032
45,1.95806,16.500,6.03871
45,1.94194,16.500,6.03548
46,1.91935,16.500,6.04194
46,1.95806,16.500,6.03871
47,1.95000,16.500,6.04032
48,1.94839,16.500,6.04194
48,1.95161,16.500,6.03871
49,1.94194,16.500,6.03710
50,1.94355,16.500,6.03548
50,1.94677,16.500,6.03065
51,1.95484,16.500,6.04516
51,1.95968,16.500,6.04355
52,1.94516,16.500,6.04355
53,1.95161,16.500,6.04032
53,1.94839,16.500,6.03387
54,1.95645,16.500,6.03387
54,1.94516,16.500,6.04032
55,1.95484,16.500,6.04194
56,1.95161,16.500,6.04194
56,1.95484,16.500,6.03387
57,1.95161,16.500,6.03710
57,1.95323,16.500,6.04032
58,1.94516,16.500,6.04032
59,1.95161,16.500,6.04194
59,1.94516,16.500,6.03548
60,1.95000,16.500,6.03710
60,1.95161,16.500,6.03710
61,1.95000,16.500,6.03710
62,1.94516,16.500,6.03548
62,1.94516,16.500,6.03548
63,1.94839,16.500,6.04032
63,1.95323,16.500,6.03548
63,1.94839,16.500,6.04194
64,1.94355,16.500,6.04194
64,1.95000,16.500,6.03871
65,1.94839,16.500,6.03710
66,1.95161,16.500,6.03871
66,1.95161,16.500,6.04677
67,1.95484,16.500,6.03387
67,1.95000,16.500,6.04032
68,1.94032,16.500,6.03871
69,1.95484,16.500,6.03226
69,1.95323,16.500,6.04194
70,1.94677,16.500,6.03871
70,1.95161,16.500,6.03226
71,1.95161,16.500,6.04032
72,1.94194,16.500,6.04355
72,1.95000,16.500,6.05000
73,1.94516,16.500,6.03871
73,1.95000,16.500,6.03387
74,1.94839,16.500,6.04032
75,1.94516,16.500,6.03226
75,1.94355,16.500,6.03387
76,1.95323,16.500,6.03548
76,1.95161,16.500,6.03387
77,1.94194,16.500,6.03871
78,1.94839,16.500,6.03710
78,1.95645,16.500,6.03871
79,1.94355,16.500,6.03387
79,1.94839,16.500,6.04032
80,1.95000,16.500,6.03226
81,1.95000,16.500,6.03710
81,1.95484,16.500,6.04194
82,1.95161,16.500,6.04032
83,1.93871,16.500,6.03548
83,1.94839,16.500,6.04355
84,1.94677,16.500,6.03871
84,1.95484,16.500,6.04355
85,1.93548,16.500,6.03710
86,1.95161,16.500,6.03871
86,1.95000,16.500,6.03226
87,1.94839,16.500,6.04516
87,1.94839,16.500,6.04194
88,1.94516,16.500,6.03710
89,1.94677,16.500,6.04194
89,1.95000,16.500,6.03548
90,1.94839,16.500,6.04032
90,1.94677,16.500,6.03871
91,1.94677,16.500,6.03548
92,1.95806,16.500,6.03548
92,1.95000,16.500,6.03871
93,1.94516,16.500,6.03226
93,1.94355,16.500,6.03226
94,1.95323,16.500,6.03710
