timestamp,tds_v,tempC,ph_v
20,1.95484,25.000,6.03226
20,1.95806,25.000,6.04032
21,1.91935,25.000,6.03710
22,1.95000,25.000,6.03710
22,1.95484,25.000,6.03871
23,1.95645,25.000,6.04516
23,1.95484,25.000,6.04839
24,1.95000,25.000,6.04355
25,1.96452,25.000,6.03548
25,1.95645,25.000,6.04032
26,1.96290,25.000,6.03226
26,1.95968,25.000,6.03871
27,1.96452,25.000,6.04032
27,1.94355,25.000,6.04355
28,1.95645,25.000,6.03871
28,1.95806,25.000,6.03871
28,1.95645,25.000,6.04032
29,1.96129,25.000,6.04194
29,1.90968,25.000,6.03710
30,1.96129,25.000,6.03871
31,1.96290,25.000,6.03871
31,1.95645,25.000,6.04032
32,1.96290,25.000,6.03871
32,1.95484,25.000,6.03871
33,1.95484,25.000,6.04032
34,1.96290,25.000,6.03226
34,1.95806,25.000,6.03387
35,1.95645,25.000,6.03387
35,1.94839,25.000,6.03710
36,1.95000,25.000,6.04355
37,1.95645,25.000,6.03710
37,1.96290,25.000,6.03710
38,1.95968,25.000,6.03710
38,1.95968,25.000,6.03548
39,1.95968,25.000,6.03548
40,1.96452,25.000,6.04194
40,1.93710,25.000,6.04516
41,1.95645,25.000,6.03226
41,1.95806,25.000,6.03548
42,1.96129,25.000,6.03387
43,1.95161,25.000,6.04194
43,1.95806,25.000,6.04516
44,1.95645,25.000,6.03710
44,1.95645,25.000,6.04032
45,1.96290,25.000,6.03710
46,1.96774,25.000,6.03387
46,1.96129,25.000,6.04032
47,1.95645,25.000,6.03871
47,1.95968,25.000,6.03548
48,1.95645,25.000,6.03548
49,1.95806,25.000,6.02581
49,1.95000,25.000,6.04032
50,1.95484,25.000,6.03710
50,1.96935,25.000,6.03871
51,1.95645,25.000,6.03710
52,1.95806,25.000,6.02581
52,1.95645,25.000,6.04355
53,1.95968,25.000,6.03710
53,1.95323,25.000,6.04516
54,1.96129,25.000,6.03710
55,1.95806,25.000,6.03710
55,1.95645,25.000,6.03710
56,1.95968,25.000,6.03548
56,1.95645,25.000,6.03548
57,1.95968,25.000,6.03387
58,1.95484,25.000,6.03871
58,1.91935,25.000,6.03710
59,1.96774,25.000,6.04355
59,1.95645,25.000,6.03548
60,1.96290,25.000,6.03548
61,1.95968,25.000,6.03871
61,1.95484,25.000,6.03548
62,1.95000,25.000,6.04677
62,1.96129,25.000,6.03710
63,1.96129,25.000,6.03548
64,1.95645,25.000,6.03387
64,1.98387,25.000,6.04194
65,1.97581,25.000,6.04355
65,1.95645,25.000,6.03226
66,1.95645,25.000,6.04355
66,1.96290,25.000,6.03226
67,1.95323,25.000,6.04194
68,1.95806,25.000,6.03710
68,1.96129,25.000,6.03710
69,1.95645,25.000,6.03871
69,1.96290,25.000,6.03871
70,1.95484,25.000,6.03548
70,1.96129,25.000,6.03548
70,1.97903,25.000,6.04355
71,1.95968,25.000,6.04194
71,1.95806,25.000,6.04194
72,1.96129,25.000,6.03548
73,1.95484,25.000,6.04355
73,1.95645,25.000,6.03710
74,1.95484,25.000,6.03226
74,1.95645,25.000,6.04516
75,1.96290,25.000,6.03548
75,1.96452,25.000,6.03387
76,1.95806,25.000,6.03548
77,1.95806,25.000,6.04677
77,1.95806,25.000,6.04032
78,1.95645,25.000,6.03387
78,1.96129,25.000,6.03226
79,1.91774,25.000,6.04194
80,1.95968,25.000,6.04355
80,1.95806,25.000,6.03548
81,1.96774,25.000,6.03710
81,1.95806,25.000,6.03871
82,1.95968,25.000,6.03710
83,1.92903,25.000,6.04032
83,1.96129,25.000,6.04032
84,1.95968,25.000,6.04194
84,1.95968,25.000,6.04194
85,1.96129,25.000,6.03710
86,1.95484,25.000,6.03710
86,1.96129,25.000,6.04516
87,1.95484,25.000,6.04194
87,1.95968,25.000,6.04355
88,1.95323,25.000,6.04194
89,1.96452,25.000,6.03871
89,1.95484,25.000,6.04032
90,1.95806,25.000,6.04355
90,1.94516,25.000,6.03226
91,1.96129,25.000,6.03871
92,1.95484,25.000,6.04355
92,1.96129,25.000,6.04194
93,1.95484,25.000,6.03710
93,1.95323,25.000,6.03871
94,1.95323,25.000,6.03548
