timestamp,tds_v,tempC,ph_v
19,1.11935,17.000,6.03710
20,1.11613,17.000,6.03710
20,1.12258,17.000,6.04032
21,1.12742,17.000,6.03710
21,1.12903,17.000,6.04194
22,1.11935,17.000,6.03065
23,1.11935,17.000,6.03710
23,1.12258,17.000,6.03548
24,1.11613,17.000,6.03387
24,1.12581,17.000,6.04516
25,1.12419,17.000,6.03871
26,1.12581,17.000,6.04032
26,1.11935,17.000,6.03871
27,1.13065,17.000,6.03387
27,1.11935,17.000,6.04194
28,1.12258,17.000,6.04194
29,1.12097,17.000,6.03387
29,1.12742,17.000,6.03871
30,1.11935,17.000,6.04516
30,1.11935,17.000,6.04355
31,1.12581,17.000,6.03871
32,1.11613,17.000,6.03548
32,1.11935,17.000,6.03871
33,1.12097,17.000,6.03871
34,1.12581,17.000,6.03548
34,1.12097,17.000,6.03387
35,1.12742,17.000,6.03387
35,1.12258,17.000,6.04355
36,1.12258,17.000,6.03871
37,1.12097,17.000,6.03387
37,1.12097,17.000,6.03387
38,1.09355,17.000,6.03871
38,1.12258,17.000,6.04032
39,1.12419,17.000,6.03387
40,1.12581,17.000,6.03387
40,1.12581,17.000,6.03710
41,1.11613,17.000,6.04355
41,1.12258,17.000,6.03548
42,1.12903,17.000,6.04355
43,1.11935,17.000,6.04032
43,1.11613,17.000,6.04032
44,1.13387,17.000,6.04355
44,1.13065,17.000,6.04194
45,1.12903,17.000,6.04355
46,1.14194,17.000,6.05000
46,1.12581,17.000,6.03710
47,1.12419,17.000,6.03871
47,1.12903,17.000,6.03871
48,1.12419,17.000,6.03065
49,1.12903,17.000,6.04516
49,1.12097,17.000,6.03548
49,1.13226,17.000,6.03548
50,1.09839,17.000,6.03226
50,1.11613,17.000,6.04032
51,1.12581,17.000,6.03548
51,1.11935,17.000,6.03710
52,1.12097,17.000,6.03871
53,1.13065,17.000,6.03871
53,1.11935,17.000,6.03226
54,1.15968,17.000,6.03548
54,1.12258,17.000,6.03226
55,1.12097,17.000,6.03387
56,1.11935,17.000,6.03226
56,1.12097,17.000,6.03387
57,1.13710,17.000,6.03548
57,1.11774,17.000,6.03710
58,1.12258,17.000,6.03226
59,1.11613,17.000,6.04194
59,1.12742,17.000,6.04355
60,1.11129,17.000,6.03548
60,1.12903,17.000,6.03710
61,1.12097,17.000,6.03226
62,1.12581,17.000,6.03226
62,1.12097,17.000,6.03871
63,1.12419,17.000,6.04355
63,1.11290,17.000,6.03871
64,1.15968,17.000,6.04032
65,1.12097,17.000,6.03710
65,1.12097,17.000,6.03710
66,1.12419,17.000,6.03387
66,1.08548,17.000,6.03871
67,1.12742,17.000,6.04032
68,1.11452,17.000,6.04194
68,1.12258,17.000,6.03226
69,1.12903,17.000,6.04032
69,1.11774,17.000,6.03065
70,1.11613,17.000,6.04355
71,1.12097,17.000,6.03226
71,1.11935,17.000,6.04194
72,1.12419,17.000,6.03226
72,1.12419,17.000,6.03387
73,1.11935,17.000,6.03710
74,1.12581,17.000,6.04032
74,1.12419,17.000,6.03387
75,1.12258,17.000,6.04839
75,1.11613,17.000,6.03548
76,1.12258,17.000,6.03065
77,1.11935,17.000,6.03871
77,1.09516,17.000,6.04355
78,1.11774,17.000,6.04516
79,1.12581,17.000,6.04032
79,1.11613,17.000,6.03548
80,1.12097,17.000,6.03548
80,1.11452,17.000,6.04032
81,1.11129,17.000,6.04355
82,1.11935,17.000,6.03710
82,1.12419,17.000,6.03548
83,1.12581,17.000,6.03710
83,1.11129,17.000,6.04032
84,1.11290,17.000,6.04032
85,1.12742,17.000,6.03871
85,1.11774,17.000,6.03710
86,1.11935,17.000,6.04032
86,1.12097,17.000,6.03548
87,1.11613,17.000,6.04677
88,1.12097,17.000,6.03710
88,1.12258,17.000,6.04194
89,1.12581,17.000,6.04194
89,1.12097,17.000,6.04194
90,1.11774,17.000,6.05161
91,1.13226,17.000,6.03710
91,1.12742,17.000,6.03871
91,1.11935,17.000,6.04355
91,1.11613,17.000,6.04032
92,1.12419,17.000,6.03871
93,1.12903,17.000,6.04677
93,1.13387,17.000,6.04194
94,1.12097,17.000,6.03710
