timestamp,tds_v,tempC,ph_v
20,1.12258,17.000,6.04194
20,1.11774,17.000,6.03548
20,1.11290,17.000,6.04032
21,1.11290,17.000,6.04194
21,1.12097,17.000,6.03710
22,1.12258,17.000,6.03548
23,1.11290,17.000,6.03710
23,1.12258,17.000,6.04355
24,1.11452,17.000,6.03548
24,1.12419,17.000,6.03871
25,1.12581,17.000,6.04032
26,1.12097,17.000,6.03710
26,1.12258,17.000,6.04032
27,1.12097,17.000,6.03710
27,1.12742,17.000,6.03871
28,1.12258,17.000,6.03548
29,1.12419,17.000,6.04355
29,1.12419,17.000,6.04677
30,1.12742,17.000,6.04355
31,1.12258,17.000,6.03871
31,1.12097,17.000,6.03226
32,1.11935,17.000,6.04194
32,1.12581,17.000,6.04516
33,1.11935,17.000,6.04194
34,1.11935,17.000,6.04194
34,1.11935,17.000,6.03387
35,1.12097,17.000,6.04194
35,1.12258,17.000,6.03710
36,1.12581,17.000,6.03871
37,1.12742,17.000,6.04032
37,1.12097,17.000,6.04032
38,1.11935,17.000,6.03548
38,1.12419,17.000,6.04194
39,1.12097,17.000,6.04677
40,1.13226,17.000,6.03548
40,1.13226,17.000,6.03871
41,1.11935,17.000,6.03871
41,1.12742,17.000,6.04839
42,1.12097,17.000,6.04194
43,1.11935,17.000,6.03710
43,1.12742,17.000,6.03871
44,1.11452,17.000,6.04032
44,1.13548,17.000,6.04355
45,1.11774,17.000,6.04194
46,1.12903,17.000,6.03871
46,1.12581,17.000,6.04355
47,1.11935,17.000,6.04516
47,1.12097,17.000,6.03710
48,1.12903,17.000,6.04839
49,1.11774,17.000,6.03710
49,1.12581,17.000,6.03226
50,1.11774,17.000,6.03548
50,1.12097,17.000,6.03710
51,1.12903,17.000,6.03710
52,1.11935,17.000,6.03548
52,1.12419,17.000,6.04032
53,1.12581,17.000,6.03871
53,1.11613,17.000,6.03548
54,1.12419,17.000,6.03387
55,1.11452,17.000,6.04355
55,1.11452,17.000,6.04839
56,1.11452,17.000,6.04516
57,1.12581,17.000,6.03871
57,1.13065,17.000,6.03548
58,1.11290,17.000,6.03871
58,1.11935,17.000,6.03871
59,1.11935,17.000,6.03710
60,1.13548,17.000,6.04194
60,1.11935,17.000,6.03710
61,1.12258,17.000,6.03871
61,1.11613,17.000,6.04194
61,1.12097,17.000,6.04516
62,1.12581,17.000,6.03387
62,1.12258,17.000,6.04032
63,1.12903,17.000,6.04032
63,1.12258,17.000,6.03710
64,1.12419,17.000,6.04355
65,1.11613,17.000,6.04194
65,1.12742,17.000,6.04194
66,1.11613,17.000,6.03871
66,1.11774,17.000,6.03226
67,1.12097,17.000,6.03065
68,1.15645,17.000,6.04032
68,1.11935,17.000,6.03710
69,1.12742,17.000,6.03226
70,1.12581,17.000,6.04355
70,1.12097,17.000,6.04032
71,1.12903,17.000,6.04032
71,1.12581,17.000,6.03871
72,1.12097,17.000,6.03710
72,1.12258,17.000,6.03871
73,1.11452,17.000,6.03387
74,1.12097,17.000,6.03387
74,1.11935,17.000,6.03710
75,1.13226,17.000,6.04194
75,1.12903,17.000,6.04032
76,1.11935,17.000,6.04032
77,1.11452,17.000,6.04032
77,1.12258,17.000,6.03548
78,1.11452,17.000,6.04355
78,1.11774,17.000,6.04194
79,1.11935,17.000,6.04032
80,1.11935,17.000,6.03548
80,1.11452,17.000,6.04355
81,1.12097,17.000,6.04355
81,1.11290,17.000,6.04677
82,1.11935,17.000,6.04677
83,1.12097,17.000,6.04355
83,1.11935,17.000,6.03387
84,1.12581,17.000,6.04194
85,1.13548,17.000,6.04516
85,1.12903,17.000,6.04516
86,1.14839,17.000,6.03710
86,1.11452,17.000,6.04355
87,1.12581,17.000,6.03871
88,1.12742,17.000,6.04677
88,1.12097,17.000,6.03710
89,1.12581,17.000,6.03871
89,1.12419,17.000,6.04355
90,1.12419,17.000,6.03871
91,1.12258,17.000,6.05645
91,1.11935,17.000,6.03871
92,1.13226,17.000,6.04194
93,1.11452,17.000,6.04194
93,1.11774,17.000,6.03710
94,1.11774,17.000,6.03710
