timestamp,tds_v,tempC,ph_v
20,1.11452,17.000,6.03871
20,1.11935,17.000,6.03710
21,1.11290,17.000,6.04032
22,1.11774,17.000,6.03548
22,1.13065,17.000,6.03548
23,1.11452,17.000,6.03871
24,1.12419,17.000,6.03387
24,1.12258,17.000,6.03871
25,1.12419,17.000,6.03548
25,1.11290,17.000,6.04355
26,1.12581,17.000,6.03387
27,1.11774,17.000,6.03387
27,1.11935,17.000,6.03548
28,1.12258,17.000,6.04516
28,1.11290,17.000,6.03548
29,1.11613,17.000,6.03548
30,1.11613,17.000,6.03387
30,1.11613,17.000,6.03710
31,1.12742,17.000,6.03548
31,1.11774,17.000,6.03387
31,1.11452,17.000,6.03871
32,1.14355,17.000,6.03710
32,1.11613,17.000,6.03710
33,1.11774,17.000,6.03710
33,1.11774,17.000,6.04032
34,1.12258,17.000,6.03387
35,1.11452,17.000,6.03710
35,1.12258,17.000,6.04194
36,1.12903,17.000,6.03710
36,1.10968,17.000,6.03548
37,1.11935,17.000,6.03871
38,1.10806,17.000,6.03871
38,1.12258,17.000,6.03226
39,1.11613,17.000,6.03548
39,1.11290,17.000,6.03387
40,1.11613,17.000,6.03548
41,1.13065,17.000,6.04355
41,1.11935,17.000,6.03548
42,1.11290,17.000,6.04032
42,1.15323,17.000,6.04032
43,1.12097,17.000,6.03871
44,1.11290,17.000,6.03710
44,1.13065,17.000,6.03710
45,1.11935,17.000,6.04355
45,1.12581,17.000,6.04516
46,1.12581,17.000,6.03871
47,1.11452,17.000,6.04194
47,1.12581,17.000,6.03871
48,1.08548,17.000,6.03226
49,1.12097,17.000,6.04032
49,1.11613,17.000,6.03226
50,1.08387,17.000,6.04516
50,1.11774,17.000,6.03710
51,1.12097,17.000,6.03871
52,1.12742,17.000,6.04355
52,1.12419,17.000,6.04194
53,1.11935,17.000,6.04355
53,1.12903,17.000,6.04677
54,1.11774,17.000,6.04032
55,1.11935,17.000,6.03871
55,1.11613,17.000,6.03710
56,1.12903,17.000,6.03710
56,1.12258,17.000,6.05645
57,1.11935,17.000,6.03710
58,1.12097,17.000,6.04355
58,1.11935,17.000,6.04194
59,1.12419,17.000,6.04032
59,1.11613,17.000,6.04839
60,1.11774,17.000,6.04355
61,1.11452,17.000,6.04355
61,1.12258,17.000,6.04677
62,1.11935,17.000,6.04032
62,1.10806,17.000,6.05323
63,1.10323,17.000,6.03548
64,1.11452,17.000,6.04032
64,1.11935,17.000,6.03548
65,1.13387,17.000,6.04355
65,1.12742,17.000,6.04677
66,1.12097,17.000,6.04032
67,1.11774,17.000,6.04194
67,1.11935,17.000,6.03548
68,1.12258,17.000,6.03710
69,1.11613,17.000,6.02581
69,1.11452,17.000,6.04355
70,1.12742,17.000,6.03871
70,1.12258,17.000,6.04516
71,1.11129,17.000,6.04032
72,1.12097,17.000,6.03387
72,1.11452,17.000,6.04194
73,1.14516,17.000,6.03226
73,1.15806,17.000,6.04194
73,1.10161,17.000,6.04355
74,1.11452,17.000,6.03226
74,1.12419,17.000,6.02903
75,1.11613,17.000,6.04194
76,1.10806,17.000,6.03065
76,1.12419,17.000,6.03548
77,1.13710,17.000,6.03871
77,1.12742,17.000,6.03548
78,1.11613,17.000,6.03387
79,1.11613,17.000,6.02903
79,1.11774,17.000,6.03548
80,1.09516,17.000,6.03871
80,1.12419,17.000,6.03548
81,1.11452,17.000,6.03871
82,1.11452,17.000,6.03710
82,1.12581,17.000,6.03871
83,1.11129,17.000,6.04677
83,1.12097,17.000,6.04194
84,1.14516,17.000,6.03710
85,1.12419,17.000,6.03226
85,1.12258,17.000,6.03710
86,1.11129,17.000,6.04516
86,1.12258,17.000,6.03387
87,1.11935,17.000,6.03710
88,1.12258,17.000,6.03548
88,1.12097,17.000,6.04194
89,1.11452,17.000,6.03871
89,1.12419,17.000,6.03710
90,1.12258,17.000,6.03871
91,1.11935,17.000,6.04355
91,1.11774,17.000,6.04516
92,1.11290,17.000,6.04516
92,1.10806,17.000,6.03387
93,1.11935,17.000,6.04516
94,1.11452,17.000,6.03871
