timestamp,tds_v,tempC,ph_v
20,1.95968,25.000,6.04194
21,1.95806,25.000,6.04194
21,1.95968,25.000,6.04355
22,1.95484,25.000,6.04194
22,1.95806,25.000,6.03871
22,1.94032,25.000,6.03387
23,1.95323,25.000,6.04194
23,1.96290,25.000,6.03871
24,1.95806,25.000,6.03548
25,1.96452,25.000,6.03226
25,1.96129,25.000,6.03710
26,1.96774,25.000,6.04677
26,1.95000,25.000,6.04355
27,1.95484,25.000,6.03387
27,1.95484,25.000,6.04677
28,1.95484,25.000,6.04839
29,1.95484,25.000,6.04839
29,1.96774,25.000,6.04516
30,1.97097,25.000,6.04194
30,1.95806,25.000,6.04032
31,1.96290,25.000,6.03387
32,1.96613,25.000,6.03871
32,1.95645,25.000,6.04355
33,1.95645,25.000,6.03226
33,1.95806,25.000,6.03387
34,1.95484,25.000,6.04355
35,1.95645,25.000,6.03710
35,1.96613,25.000,6.04516
36,1.96290,25.000,6.03871
36,1.96290,25.000,6.03387
37,1.96129,25.000,6.04194
38,1.95645,25.000,6.03710
38,1.95806,25.000,6.04194
39,1.95968,25.000,6.03065
39,1.97742,25.000,6.03548
40,1.95968,25.000,6.03387
41,1.95645,25.000,6.03548
41,1.96129,25.000,6.03871
42,1.96613,25.000,6.04355
42,1.95806,25.000,6.04355
43,1.95000,25.000,6.04032
44,1.96452,25.000,6.04355
44,1.96129,25.000,6.04677
45,1.95645,25.000,6.03548
45,1.95645,25.000,6.03871
46,1.95806,25.000,6.03871
47,1.95484,25.000,6.03387
47,1.95645,25.000,6.04516
48,1.95806,25.000,6.03548
48,1.95806,25.000,6.03710
49,1.95484,25.000,6.03871
50,1.95968,25.000,6.03548
50,1.95323,25.000,6.04032
51,1.95000,25.000,6.03548
51,1.95484,25.000,6.03710
52,1.95484,25.000,6.03548
53,1.96129,25.000,6.03871
53,1.94516,25.000,6.04355
54,1.95806,25.000,6.03226
54,1.96613,25.000,6.03065
55,1.95806,25.000,6.03871
55,1.96129,25.000,6.03871
56,1.95806,25.000,6.03871
57,1.95806,25.000,6.03548
57,1.95968,25.000,6.03387
58,1.95806,25.000,6.03548
58,1.95323,25.000,6.04032
59,1.95968,25.000,6.04516
60,1.96129,25.000,6.04355
60,1.95806,25.000,6.03871
61,1.95645,25.000,6.03548
61,1.95968,25.000,6.03548
62,1.95968,25.000,6.04355
63,1.95484,25.000,6.03710
63,1.96129,25.000,6.03548
64,1.95968,25.000,6.04194
64,1.95645,25.000,6.04032
64,1.96129,25.000,6.04032
65,1.95000,25.000,6.03710
65,1.95806,25.000,6.03548
66,1.95806,25.000,6.03065
66,1.95968,25.000,6.04516
67,1.96129,25.000,6.05000
68,1.95323,25.000,6.04032
68,1.95323,25.000,6.04032
69,1.95484,25.000,6.04032
69,1.96613,25.000,6.03548
70,1.96452,25.000,6.04516
71,1.95323,25.000,6.03710
71,1.95484,25.000,6.04032
72,1.95968,25.000,6.03548
72,1.96129,25.000,6.04194
73,1.95806,25.000,6.04677
74,1.95645,25.000,6.03871
74,1.95645,25.000,6.03871
75,1.95645,25.000,6.04194
75,1.95806,25.000,6.04194
76,1.95968,25.000,6.04516
76,1.97903,25.000,6.03548
77,1.96129,25.000,6.03387
78,1.96290,25.000,6.03387
78,1.95806,25.000,6.03871
79,1.96452,25.000,6.04516
79,1.95968,25.000,6.03387
80,1.95806,25.000,6.03548
81,1.95806,25.000,6.04677
81,1.95323,25.000,6.03548
82,1.96290,25.000,6.04194
82,1.95484,25.000,6.04355
83,1.95806,25.000,6.03548
84,1.95000,25.000,6.04032
84,1.95484,25.000,6.04032
85,1.94677,25.000,6.03871
85,1.96452,25.000,6.03710
86,1.95806,25.000,6.03871
87,1.95806,25.000,6.03226
87,1.96129,25.000,6.04032
88,1.95806,25.000,6.04516
88,1.96290,25.000,6.03548
89,1.95484,25.000,6.03387
90,1.96452,25.000,6.04355
90,1.95161,25.000,6.03871
91,1.95323,25.000,6.03710
91,1.96129,25.000,6.03548
92,1.95806,25.000,6.02903
93,1.95968,25.000,6.04032
93,1.95000,25.000,6.03387
94,1.95484,25.000,6.03387
