timestamp,tds_v,tempC,ph_v
18,1.92581,16.500,6.03387
19,1.92097,16.500,6.04355
20,1.92581,16.500,6.03710
20,1.91935,16.500,6.03871
21,1.92258,16.500,6.04194
21,1.92742,16.500,6.04516
22,1.91935,16.500,6.04032
23,1.92097,16.500,6.04355
23,1.92581,16.500,6.04355
24,1.92258,16.500,6.04677
24,1.89194,16.500,6.04032
25,1.92258,16.500,6.04516
26,1.91774,16.500,6.03548
26,1.92581,16.500,6.04032
27,1.92581,16.500,6.04677
27,1.92097,16.500,6.04194
28,1.91935,16.500,6.04032
29,1.92581,16.500,6.04516
29,1.92258,16.500,6.04516
30,1.92581,16.500,6.04032
30,1.91935,16.500,6.04516
31,1.92419,16.500,6.03871
32,1.91935,16.500,6.04516
32,1.92419,16.500,6.04677
33,1.92097,16.500,6.03871
33,1.92258,16.500,6.04194
34,1.94194,16.500,6.04355
35,1.92581,16.500,6.03710
35,1.92258,16.500,6.04032
36,1.91452,16.500,6.04194
37,1.92097,16.500,6.04032
37,1.92258,16.500,6.04516
38,1.92419,16.500,6.03710
38,1.92419,16.500,6.03871
39,1.92581,16.500,6.03871
40,1.92581,16.500,6.03871
40,1.91774,16.500,6.04516
41,1.92742,16.500,6.03871
41,1.91774,16.500,6.03871
42,1.91613,16.500,6.03710
43,1.92097,16.500,6.04194
43,1.92581,16.500,6.04032
43,1.92097,16.500,6.03871
43,1.87903,16.500,6.04194
44,1.91290,16.500,6.04355
45,1.92581,16.500,6.03548
45,1.91935,16.500,6.03548
46,1.91935,16.500,6.04677
46,1.92258,16.500,6.03871
47,1.92742,16.500,6.03548
48,1.92903,16.500,6.04194
48,1.92742,16.500,6.03548
49,1.91774,16.500,6.04839
49,1.92258,16.500,6.03548
50,1.91935,16.500,6.03710
51,1.92903,16.500,6.04516
51,1.93226,16.500,6.03871
52,1.92258,16.500,6.04194
52,1.91774,16.500,6.04032
53,1.93065,16.500,6.04032
54,1.92097,16.500,6.03871
54,1.91613,16.500,6.04032
55,1.92903,16.500,6.04355
56,1.93226,16.500,6.03871
56,1.92581,16.500,6.03065
57,1.92419,16.500,6.03710
57,1.91774,16.500,6.04194
58,1.91613,16.500,6.05645
59,1.91774,16.500,6.04355
59,1.92742,16.500,6.04032
60,1.92419,16.500,6.04194
60,1.92097,16.500,6.03871
61,1.92903,16.500,6.04839
62,1.94032,16.500,6.04355
62,1.92581,16.500,6.04194
63,1.91774,16.500,6.04516
63,1.92581,16.500,6.04516
64,1.91290,16.500,6.04032
65,1.91452,16.500,6.04677
65,1.90323,16.500,6.04032
66,1.92258,16.500,6.04032
67,1.92258,16.500,6.04355
67,1.91452,16.500,6.04032
68,1.93871,16.500,6.04194
68,1.92258,16.500,6.04355
69,1.91613,16.500,6.03710
70,1.89516,16.500,6.04194
70,1.91129,16.500,6.04677
71,1.93065,16.500,6.03226
71,1.89516,16.500,6.03871
72,1.92258,16.500,6.04194
73,1.92258,16.500,6.03871
73,1.91935,16.500,6.04355
74,1.92258,16.500,6.04516
74,1.92097,16.500,6.04355
75,1.92419,16.500,6.03871
76,1.91613,16.500,6.04194
76,1.90161,16.500,6.04032
77,1.92258,16.500,6.03548
77,1.92903,16.500,6.03548
78,1.92097,16.500,6.03871
79,1.92581,16.500,6.04194
79,1.91613,16.500,6.04355
80,1.92258,16.500,6.03710
80,1.92581,16.500,6.03871
81,1.92419,16.500,6.03387
82,1.91129,16.500,6.03871
82,1.92097,16.500,6.04032
83,1.94032,16.500,6.03710
83,1.91935,16.500,6.04516
84,1.92097,16.500,6.03226
84,1.92258,16.500,6.03710
84,1.93065,16.500,6.04677
85,1.90968,16.500,6.04032
85,1.92742,16.500,6.03871
86,1.92742,16.500,6.04032
87,1.94194,16.500,6.04677
87,1.91935,16.500,6.04355
88,1.91774,16.500,6.03871
89,1.92258,16.500,6.03871
89,1.92258,16.500,6.03710
90,1.91935,16.500,6.03871
90,1.91452,16.500,6.04516
91,1.92258,16.500,6.04194
92,1.91613,16.500,6.04032
92,1.92742,16.500,6.04032
93,1.91613,16.500,6.03710
93,1.92581,16.500,6.04032
94,1.93387,16.500,6.03387
