timestamp,tds_v,tempC,ph_v
19,1.11452,17.000,6.03871
20,1.11935,17.000,6.04194
21,1.13548,17.000,6.04032
21,1.13065,17.000,6.04355
22,1.10000,17.000,6.04194
22,1.11774,17.000,6.04194
23,1.11774,17.000,6.03548
24,1.12097,17.000,6.03710
24,1.12742,17.000,6.04839
25,1.12419,17.000,6.04032
25,1.12258,17.000,6.03226
26,1.12581,17.000,6.03548
27,1.12258,17.000,6.03871
27,1.11452,17.000,6.04355
28,1.12097,17.000,6.04516
28,1.11935,17.000,6.02903
29,1.13387,17.000,6.04355
30,1.12258,17.000,6.04032
30,1.12097,17.000,6.04194
31,1.10484,17.000,6.04032
31,1.11613,17.000,6.03871
32,1.11774,17.000,6.03871
32,1.12419,17.000,6.03871
32,1.11613,17.000,6.04194
33,1.13387,17.000,6.04032
33,1.12581,17.000,6.04677
34,1.10161,17.000,6.03387
35,1.11774,17.000,6.04355
35,1.11935,17.000,6.04516
36,1.11774,17.000,6.04355
36,1.12419,17.000,6.04516
37,1.12419,17.000,6.04516
38,1.12742,17.000,6.03871
38,1.10645,17.000,6.03548
39,1.11935,17.000,6.04194
39,1.10968,17.000,6.03226
40,1.11935,17.000,6.03710
41,1.11129,17.000,6.03871
41,1.12258,17.000,6.03387
42,1.12581,17.000,6.04194
42,1.12581,17.000,6.03548
43,1.12581,17.000,6.04355
44,1.12097,17.000,6.03710
44,1.12258,17.000,6.04516
45,1.11774,17.000,6.04677
45,1.12097,17.000,6.03871
46,1.12581,17.000,6.03871
47,1.11774,17.000,6.04516
47,1.13226,17.000,6.04032
48,1.11774,17.000,6.03871
48,1.11290,17.000,6.03871
49,1.11452,17.000,6.04032
50,1.11452,17.000,6.04032
50,1.12097,17.000,6.03548
51,1.12419,17.000,6.03871
52,1.11452,17.000,6.04194
52,1.12258,17.000,6.04355
53,1.12097,17.000,6.03548
53,1.12742,17.000,6.03871
54,1.10968,17.000,6.04194
55,1.10968,17.000,6.03871
55,1.11129,17.000,6.03871
56,1.11935,17.000,6.03548
56,1.12097,17.000,6.04032
57,1.11774,17.000,6.04677
58,1.10161,17.000,6.03871
58,1.13387,17.000,6.03387
59,1.12258,17.000,6.04032
59,1.12097,17.000,6.04194
60,1.12903,17.000,6.03871
61,1.12419,17.000,6.03871
61,1.11935,17.000,6.03387
62,1.12258,17.000,6.03548
62,1.11613,17.000,6.04032
63,1.13226,17.000,6.03710
64,1.11613,17.000,6.03871
64,1.12742,17.000,6.04194
65,1.11774,17.000,6.04032
65,1.11935,17.000,6.03710
66,1.12903,17.000,6.03226
67,1.12903,17.000,6.03871
67,1.12903,17.000,6.03710
68,1.12581,17.000,6.03226
68,1.11935,17.000,6.03548
69,1.12097,17.000,6.03226
70,1.12581,17.000,6.03226
70,1.16935,17.000,6.04194
71,1.11935,17.000,6.04516
71,1.12258,17.000,6.04032
72,1.12419,17.000,6.03710
73,1.12581,17.000,6.03871
73,1.11935,17.000,6.03710
74,1.11935,17.000,6.03871
74,1.11935,17.000,6.04194
74,1.12581,17.000,6.04677
75,1.12258,17.000,6.03387
75,1.11935,17.000,6.03387
76,1.11290,17.000,6.03871
77,1.11290,17.000,6.03871
77,1.12258,17.000,6.03710
78,1.11613,17.000,6.03710
78,1.12903,17.000,6.03548
79,1.11774,17.000,6.03871
80,1.11613,17.000,6.04032
80,1.11774,17.000,6.04355
81,1.13548,17.000,6.04032
81,1.11774,17.000,6.04355
82,1.12419,17.000,6.03871
83,1.11290,17.000,6.03710
83,1.12419,17.000,6.04839
84,1.11935,17.000,6.04194
84,1.12097,17.000,6.03548
85,1.11935,17.000,6.03387
86,1.12742,17.000,6.03387
86,1.12742,17.000,6.04032
87,1.12097,17.000,6.03226
87,1.11290,17.000,6.04194
88,1.16774,17.000,6.04032
89,1.12097,17.000,6.04032
89,1.12097,17.000,6.03871
90,1.12097,17.000,6.03387
90,1.13548,17.000,6.04194
91,1.13065,17.000,6.03065
92,1.12903,17.000,6.03548
92,1.13226,17.000,6.03387
93,1.11613,17.000,6.03710
93,1.12419,17.000,6.03710
94,1.11935,17.000,6.03710
