timestamp,tds_v,tempC,ph_v
19,1.12097,17.000,6.03226
20,1.11290,17.000,6.04194
20,1.11613,17.000,6.03710
21,1.11290,17.000,6.03871
22,1.12258,17.000,6.04194
22,1.11935,17.000,6.03387
23,1.12258,17.000,6.03387
24,1.11935,17.000,6.03548
24,1.12419,17.000,6.03871
25,1.12419,17.000,6.03387
25,1.11774,17.000,6.03710
26,1.11935,17.000,6.03387
27,1.12097,17.000,6.03226
27,1.11452,17.000,6.03871
28,1.12419,17.000,6.04355
28,1.11613,17.000,6.03710
29,1.12097,17.000,6.03871
29,1.12742,17.000,6.04032
29,1.11935,17.000,6.04032
30,1.11935,17.000,6.04355
30,1.12097,17.000,6.04516
31,1.12097,17.000,6.03710
32,1.11774,17.000,6.03548
32,1.11774,17.000,6.03226
33,1.11452,17.000,6.03710
33,1.11774,17.000,6.03548
34,1.11452,17.000,6.03710
35,1.11935,17.000,6.03710
35,1.12258,17.000,6.03226
36,1.11129,17.000,6.03871
36,1.11935,17.000,6.03871
37,1.14194,17.000,6.04032
38,1.12097,17.000,6.03710
38,1.11613,17.000,6.04355
39,1.12742,17.000,6.04194
39,1.11290,17.000,6.03871
40,1.12742,17.000,6.04032
41,1.12258,17.000,6.03871
41,1.11613,17.000,6.03710
42,1.11129,17.000,6.03871
42,1.11452,17.000,6.04355
43,1.11774,17.000,6.03871
44,1.12258,17.000,6.03710
44,1.13065,17.000,6.03710
45,1.12581,17.000,6.04355
45,1.11452,17.000,6.04194
46,1.12581,17.000,6.03871
47,1.11935,17.000,6.03871
47,1.11613,17.000,6.04516
48,1.11613,17.000,6.04194
48,1.12419,17.000,6.03871
49,1.11774,17.000,6.03548
50,1.12742,17.000,6.03548
50,1.11290,17.000,6.03548
51,1.12581,17.000,6.04032
52,1.14839,17.000,6.04194
52,1.12419,17.000,6.04194
53,1.11935,17.000,6.03871
53,1.11935,17.000,6.03871
54,1.11290,17.000,6.03387
55,1.13548,17.000,6.03710
55,1.12742,17.000,6.04194
56,1.11774,17.000,6.03226
56,1.12419,17.000,6.04032
57,1.12742,17.000,6.03387
58,1.12097,17.000,6.03710
58,1.12903,17.000,6.03871
59,1.12581,17.000,6.04032
59,1.11774,17.000,6.03710
60,1.11774,17.000,6.03871
61,1.12581,17.000,6.03387
61,1.12258,17.000,6.03226
62,1.12419,17.000,6.03548
62,1.11935,17.000,6.03387
63,1.11774,17.000,6.03226
64,1.12742,17.000,6.03871
64,1.12419,17.000,6.03065
65,1.11935,17.000,6.04677
65,1.12097,17.000,6.04355
66,1.12097,17.000,6.03871
67,1.12581,17.000,6.03548
67,1.11290,17.000,6.03871
68,1.13226,17.000,6.04032
68,1.12258,17.000,6.03710
69,1.11774,17.000,6.03387
70,1.11935,17.000,6.03387
70,1.11129,17.000,6.04032
70,1.12097,17.000,6.04032
70,1.12258,17.000,6.03548
71,1.11613,17.000,6.04355
72,1.12258,17.000,6.04194
72,1.12581,17.000,6.03871
73,1.11452,17.000,6.04355
74,1.12581,17.000,6.04355
74,1.11935,17.000,6.03871
75,1.12419,17.000,6.03387
75,1.11774,17.000,6.04194
76,1.12097,17.000,6.04677
77,1.11613,17.000,6.04032
77,1.12742,17.000,6.04194
78,1.12581,17.000,6.04032
78,1.11935,17.000,6.03710
79,1.12258,17.000,6.04032
80,1.12097,17.000,6.04032
80,1.13065,17.000,6.03387
81,1.11129,17.000,6.03871
81,1.11613,17.000,6.03710
82,1.12258,17.000,6.04355
83,1.11935,17.000,6.03548
83,1.12581,17.000,6.03387
84,1.12258,17.000,6.04194
84,1.11774,17.000,6.03710
85,1.11613,17.000,6.04032
86,1.11129,17.000,6.03548
86,1.12097,17.000,6.03871
87,1.12097,17.000,6.04194
87,1.11935,17.000,6.03548
88,1.12097,17.000,6.03871
89,1.11613,17.000,6.03548
89,1.12419,17.000,6.04194
90,1.12097,17.000,6.03871
90,1.11935,17.000,6.03548
91,1.11935,17.000,6.03710
92,1.12419,17.000,6.04032
92,1.12258,17.000,6.04194
93,1.11452,17.000,6.04194
93,1.11290,17.000,6.04516
94,1.11613,17.000,6.03548
