timestamp,tds_v,tempC,ph_v
18,1.92419,16.500,6.03548
19,1.90806,16.500,6.03710
20,1.92903,16.500,6.03710
20,1.91935,16.500,6.04032
21,1.91935,16.500,6.04032
21,1.90968,16.500,6.03710
22,1.91452,16.500,6.04032
23,1.90968,16.500,6.04032
23,1.91290,16.500,6.03710
24,1.91290,16.500,6.04194
24,1.91774,16.500,6.03710
25,1.90968,16.500,6.03548
26,1.91452,16.500,6.04032
26,1.92742,16.500,6.04032
27,1.91129,16.500,6.04194
27,1.91452,16.500,6.04355
28,1.91452,16.500,6.03387
29,1.91452,16.500,6.04839
29,1.91935,16.500,6.04194
30,1.91452,16.500,6.04194
30,1.92097,16.500,6.04194
31,1.92258,16.500,6.04194
32,1.91774,16.500,6.03871
32,1.91935,16.500,6.03387
33,1.91774,16.500,6.03871
33,1.93548,16.500,6.04032
34,1.91452,16.500,6.03548
35,1.91452,16.500,6.03710
35,1.91613,16.500,6.04355
36,1.91452,16.500,6.03387
37,1.91613,16.500,6.03387
37,1.91613,16.500,6.03226
38,1.91774,16.500,6.03871
38,1.91774,16.500,6.04194
39,1.91452,16.500,6.03226
40,1.91290,16.500,6.03387
40,1.91613,16.500,6.03710
41,1.91613,16.500,6.03548
41,1.91774,16.500,6.03226
42,1.90968,16.500,6.04194
43,1.92097,16.500,6.03548
43,1.91613,16.500,6.04032
43,1.92419,16.500,6.03871
43,1.91774,16.500,6.04516
44,1.91613,16.500,6.03710
45,1.91774,16.500,6.03710
45,1.91290,16.500,6.03710
46,1.91613,16.500,6.03871
46,1.90968,16.500,6.03387
47,1.91613,16.500,6.03871
48,1.91613,16.500,6.02742
48,1.91452,16.500,6.02903
49,1.89355,16.500,6.03871
49,1.91774,16.500,6.03387
50,1.91452,16.500,6.03226
51,1.91290,16.500,6.03387
51,1.91774,16.500,6.03710
52,1.90484,16.500,6.04194
53,1.91613,16.500,6.03387
53,1.92097,16.500,6.03710
54,1.91935,16.500,6.03387
54,1.91935,16.500,6.03387
55,1.90645,16.500,6.03710
56,1.89677,16.500,6.04355
56,1.91452,16.500,6.03710
57,1.91935,16.500,6.04194
57,1.91290,16.500,6.04677
58,1.92097,16.500,6.04839
59,1.92097,16.500,6.04355
59,1.91613,16.500,6.04032
60,1.91613,16.500,6.03710
60,1.91290,16.500,6.03548
61,1.91290,16.500,6.03871
62,1.91129,16.500,6.03065
62,1.91452,16.500,6.03871
63,1.91613,16.500,6.03065
63,1.93065,16.500,6.03710
64,1.91935,16.500,6.04032
65,1.91935,16.500,6.03548
65,1.92419,16.500,6.03871
66,1.91452,16.500,6.03548
67,1.91935,16.500,6.03548
67,1.90645,16.500,6.03710
68,1.91613,16.500,6.04032
68,1.90806,16.500,6.02742
69,1.91290,16.500,6.03548
70,1.91613,16.500,6.03548
70,1.91290,16.500,6.04194
71,1.91452,16.500,6.03226
71,1.91613,16.500,6.03710
72,1.92419,16.500,6.03710
73,1.91774,16.500,6.02581
73,1.91613,16.500,6.03710
74,1.91935,16.500,6.03710
74,1.90968,16.500,6.03226
75,1.91290,16.500,6.03871
76,1.91613,16.500,6.03871
76,1.91290,16.500,6.03710
77,1.91129,16.500,6.04194
77,1.91290,16.500,6.03710
78,1.95000,16.500,6.04355
79,1.91129,16.500,6.03065
79,1.89516,16.500,6.04355
80,1.90968,16.500,6.03387
80,1.90645,16.500,6.03548
81,1.91774,16.500,6.03387
82,1.91452,16.500,6.04355
82,1.92097,16.500,6.03710
83,1.91774,16.500,6.03387
83,1.91129,16.500,6.04032
84,1.90806,16.500,6.03871
84,1.91129,16.500,6.04194
84,1.91452,16.500,6.04032
85,1.91774,16.500,6.03548
86,1.91613,16.500,6.03548
86,1.91935,16.500,6.04032
87,1.91935,16.500,6.04032
87,1.92742,16.500,6.04194
88,1.91774,16.500,6.03871
89,1.91774,16.500,6.03871
89,1.91774,16.500,6.04032
90,1.91613,16.500,6.04032
90,1.91452,16.500,6.04355
91,1.91774,16.500,6.04194
92,1.91452,16.500,6.03387
92,1.91290,16.500,6.03065
93,1.91452,16.500,6.03387
93,1.91935,16.500,6.04677
94,1.92097,16.500,6.02903
