timestamp,tds_v,tempC,ph_v
18,1.91129,16.500,6.04355
19,1.91290,16.500,6.04032
20,1.91452,16.500,6.03710
20,1.88871,16.500,6.04194
21,1.92258,16.500,6.04194
21,1.92097,16.500,6.03871
22,1.91290,16.500,6.03871
23,1.90968,16.500,6.03710
23,1.91290,16.500,6.03387
24,1.91935,16.500,6.05000
24,1.92097,16.500,6.04355
25,1.92097,16.500,6.03710
26,1.92097,16.500,6.03226
26,1.91935,16.500,6.04032
27,1.91290,16.500,6.04839
27,1.91613,16.500,6.03710
28,1.91129,16.500,6.04194
29,1.92258,16.500,6.04355
29,1.90484,16.500,6.03871
30,1.90968,16.500,6.04032
30,1.91774,16.500,6.04516
31,1.91613,16.500,6.03710
32,1.91290,16.500,6.04194
32,1.91935,16.500,6.04677
33,1.90806,16.500,6.04839
33,1.92097,16.500,6.04032
34,1.91290,16.500,6.04194
35,1.92258,16.500,6.04677
35,1.92097,16.500,6.04516
36,1.91774,16.500,6.03710
36,1.92097,16.500,6.04516
37,1.91613,16.500,6.04194
38,1.91452,16.500,6.04355
38,1.90806,16.500,6.03387
39,1.90323,16.500,6.04516
40,1.91613,16.500,6.03871
40,1.90806,16.500,6.04032
41,1.92097,16.500,6.04516
41,1.91129,16.500,6.03710
42,1.91613,16.500,6.04194
43,1.91290,16.500,6.03710
43,1.92097,16.500,6.03387
44,1.91613,16.500,6.03226
44,1.91452,16.500,6.03387
45,1.91452,16.500,6.04032
46,1.91774,16.500,6.03871
46,1.90000,16.500,6.03710
47,1.91935,16.500,6.03871
47,1.91613,16.500,6.04194
48,1.90161,16.500,6.04194
49,1.91774,16.500,6.03871
49,1.92419,16.500,6.03710
50,1.91452,16.500,6.04194
50,1.91774,16.500,6.03548
51,1.91774,16.500,6.03871
52,1.92258,16.500,6.03710
52,1.91935,16.500,6.03871
53,1.92581,16.500,6.03871
53,1.91129,16.500,6.03871
54,1.91290,16.500,6.04355
54,1.90806,16.500,6.03548
54,1.91129,16.500,6.04032
55,1.91452,16.500,6.04355
56,1.90968,16.500,6.03387
56,1.91290,16.500,6.03710
57,1.91290,16.500,6.03226
57,1.92258,16.500,6.03065
58,1.91129,16.500,6.04677
59,1.91774,16.500,6.04355
59,1.90968,16.500,6.03710
60,1.90806,16.500,6.03387
60,1.91774,16.500,6.03387
61,1.92419,16.500,6.04032
62,1.91452,16.500,6.04516
62,1.90968,16.500,6.03548
63,1.91613,16.500,6.03387
63,1.91935,16.500,6.03226
64,1.90161,16.500,6.04355
65,1.91774,16.500,6.03871
65,1.91613,16.500,6.04194
66,1.91129,16.500,6.04032
66,1.91290,16.500,6.03710
67,1.90645,16.500,6.03548
68,1.92097,16.500,6.04194
68,1.91774,16.500,6.03387
69,1.91452,16.500,6.04194
69,1.91774,16.500,6.04194
70,1.91290,16.500,6.03871
71,1.91613,16.500,6.03548
71,1.91290,16.500,6.03065
72,1.91452,16.500,6.04355
73,1.91129,16.500,6.03387
73,1.92097,16.500,6.04194
74,1.91290,16.500,6.04032
74,1.92258,16.500,6.03548
75,1.91613,16.500,6.03387
76,1.91452,16.500,6.04032
76,1.90968,16.500,6.03710
77,1.92097,16.500,6.03871
77,1.93548,16.500,6.03548
78,1.91613,16.500,6.03548
79,1.91613,16.500,6.03548
79,1.90968,16.500,6.04516
80,1.91935,16.500,6.03548
80,1.91452,16.500,6.03710
81,1.91613,16.500,6.03065
82,1.94677,16.500,6.03548
82,1.92419,16.500,6.04194
83,1.91935,16.500,6.03387
84,1.91452,16.500,6.03548
84,1.91774,16.500,6.03871
85,1.91613,16.500,6.03871
85,1.91935,16.500,6.04516
86,1.91613,16.500,6.03548
87,1.91935,16.500,6.03548
87,1.91452,16.500,6.03710
88,1.91129,16.500,6.03548
88,1.90806,16.500,6.04355
89,1.91129,16.500,6.03710
90,1.91935,16.500,6.03871
90,1.91774,16.500,6.04194
91,1.90161,16.500,6.03387
91,1.91290,16.500,6.03871
92,1.91774,16.500,6.04516
93,1.90806,16.500,6.03226
93,1.91290,16.500,6.03065
94,1.92097,16.500,6.04032
