timestamp,tds_v,tempC,ph_v
20,1.87903,16.500,6.03065
21,1.89516,16.500,6.03548
21,1.88226,16.500,6.03387
21,1.89032,16.500,6.03548
21,1.88548,16.500,6.03710
22,1.88065,16.500,6.04032
23,1.89032,16.500,6.03871
23,1.88710,16.500,6.03710
24,1.88226,16.500,6.03871
24,1.87742,16.500,6.04032
25,1.88871,16.500,6.04355
26,1.88548,16.500,6.03226
26,1.88548,16.500,6.03387
27,1.89355,16.500,6.03871
27,1.87419,16.500,6.03387
28,1.88710,16.500,6.03710
29,1.88548,16.500,6.03710
29,1.88710,16.500,6.04032
30,1.87742,16.500,6.03387
30,1.88387,16.500,6.03387
31,1.88548,16.500,6.03871
32,1.87903,16.500,6.03871
32,1.88548,16.500,6.03871
33,1.88226,16.500,6.03387
33,1.88548,16.500,6.03548
34,1.88226,16.500,6.04355
35,1.87258,16.500,6.04355
35,1.87581,16.500,6.04355
36,1.89194,16.500,6.03710
37,1.87258,16.500,6.03387
37,1.88871,16.500,6.04194
38,1.89032,16.500,6.03710
38,1.88226,16.500,6.04677
39,1.88226,16.500,6.04032
40,1.88710,16.500,6.03387
40,1.88065,16.500,6.03710
41,1.88710,16.500,6.03710
41,1.87581,16.500,6.05484
42,1.88226,16.500,6.04355
43,1.88710,16.500,6.02903
43,1.88065,16.500,6.03871
44,1.89032,16.500,6.03548
44,1.88710,16.500,6.04032
45,1.88548,16.500,6.03065
46,1.88871,16.500,6.03871
46,1.88710,16.500,6.03548
47,1.88710,16.500,6.03871
47,1.88387,16.500,6.03548
48,1.88710,16.500,6.03871
49,1.88710,16.500,6.03548
49,1.88387,16.500,6.03387
50,1.88710,16.500,6.04032
51,1.87742,16.500,6.04194
51,1.87581,16.500,6.03710
52,1.88226,16.500,6.03387
52,1.88387,16.500,6.03871
53,1.88387,16.500,6.03065
54,1.88710,16.500,6.04839
54,1.88387,16.500,6.03226
55,1.88387,16.500,6.04194
56,1.88871,16.500,6.03871
56,1.88226,16.500,6.03710
57,1.87419,16.500,6.03871
57,1.88226,16.500,6.04032
58,1.88548,16.500,6.04839
59,1.89032,16.500,6.03871
59,1.88710,16.500,6.04032
60,1.87742,16.500,6.04516
60,1.89355,16.500,6.03710
61,1.89839,16.500,6.03548
62,1.87581,16.500,6.03871
62,1.88871,16.500,6.04032
63,1.88065,16.500,6.04032
63,1.87258,16.500,6.03387
63,1.87903,16.500,6.03710
64,1.88548,16.500,6.03871
64,1.88387,16.500,6.03226
65,1.88226,16.500,6.04194
65,1.87581,16.500,6.03871
66,1.88548,16.500,6.04032
67,1.88387,16.500,6.03871
67,1.88710,16.500,6.04516
68,1.89194,16.500,6.04677
69,1.88226,16.500,6.04032
69,1.88387,16.500,6.03871
70,1.89355,16.500,6.04032
70,1.88710,16.500,6.03710
71,1.87581,16.500,6.04839
72,1.88710,16.500,6.04194
72,1.88065,16.500,6.03548
73,1.88548,16.500,6.03710
73,1.87903,16.500,6.03710
74,1.88548,16.500,6.04032
75,1.88548,16.500,6.03548
75,1.88871,16.500,6.04194
76,1.87742,16.500,6.04194
76,1.88710,16.500,6.04355
77,1.88871,16.500,6.04839
78,1.88226,16.500,6.03710
78,1.88065,16.500,6.04194
79,1.89516,16.500,6.04194
79,1.86129,16.500,6.03548
80,1.89194,16.500,6.03710
81,1.89355,16.500,6.03871
81,1.88065,16.500,6.03710
82,1.88710,16.500,6.04194
82,1.87903,16.500,6.03710
83,1.89032,16.500,6.05000
84,1.89032,16.500,6.03710
84,1.87903,16.500,6.03710
85,1.88871,16.500,6.03710
85,1.88710,16.500,6.03387
86,1.88065,16.500,6.04355
87,1.88226,16.500,6.04032
87,1.88065,16.500,6.03710
88,1.88710,16.500,6.04516
89,1.88065,16.500,6.03871
89,1.87903,16.500,6.04677
90,1.88710,16.500,6.04194
90,1.88548,16.500,6.04194
91,1.88548,16.500,6.03871
92,1.89194,16.500,6.04355
92,1.87258,16.500,6.04194
93,1.87419,16.500,6.03226
93,1.88710,16.500,6.03871
94,1.89032,16.500,6.04194
