timestamp,tds_v,tempC,ph_v
20,1.10484,25.000,6.03548
21,1.10645,25.000,6.04032
21,1.11613,25.000,6.04032
22,1.10968,25.000,6.03226
22,1.11452,25.000,6.03871
23,1.10806,25.000,6.03710
24,1.11129,25.000,6.03710
24,1.11290,25.000,6.03387
25,1.13710,25.000,6.03387
25,1.11613,25.000,6.04355
26,1.11613,25.000,6.03871
27,1.11129,25.000,6.03710
27,1.10484,25.000,6.03871
28,1.11129,25.000,6.03710
28,1.11935,25.000,6.04677
28,1.10161,25.000,6.03710
29,1.10645,25.000,6.03548
29,1.11290,25.000,6.04516
30,1.10645,25.000,6.04355
30,1.12581,25.000,6.03871
31,1.11290,25.000,6.02903
32,1.11290,25.000,6.04194
32,1.11935,25.000,6.03710
33,1.11774,25.000,6.03065
33,1.10645,25.000,6.04355
34,1.10968,25.000,6.03871
35,1.11613,25.000,6.03871
35,1.11452,25.000,6.03548
36,1.10645,25.000,6.03710
36,1.10323,25.000,6.04355
37,1.11129,25.000,6.03871
38,1.11129,25.000,6.03226
38,1.11613,25.000,6.04355
39,1.11935,25.000,6.04355
39,1.11613,25.000,6.04032
40,1.10806,25.000,6.04032
40,1.11613,25.000,6.03710
41,1.10968,25.000,6.03387
42,1.10968,25.000,6.04839
42,1.12258,25.000,6.04355
43,1.10968,25.000,6.03387
43,1.11774,25.000,6.04355
44,1.11774,25.000,6.03226
45,1.10968,25.000,6.03548
45,1.12097,25.000,6.05161
46,1.10484,25.000,6.03871
46,1.10645,25.000,6.03226
47,1.11129,25.000,6.03548
48,1.11129,25.000,6.03065
48,1.11774,25.000,6.04355
49,1.11613,25.000,6.04355
49,1.11290,25.000,6.03871
50,1.10806,25.000,6.04516
51,1.11290,25.000,6.04355
51,1.12097,25.000,6.04194
52,1.11935,25.000,6.03387
52,1.12097,25.000,6.03710
53,1.11613,25.000,6.03710
54,1.11129,25.000,6.04355
54,1.11774,25.000,6.04032
55,1.11452,25.000,6.04516
55,1.11452,25.000,6.04516
56,1.11774,25.000,6.03871
57,1.11613,25.000,6.04516
57,1.10968,25.000,6.04032
58,1.11774,25.000,6.03871
58,1.11129,25.000,6.03871
59,1.12419,25.000,6.03710
60,1.11935,25.000,6.03548
60,1.11129,25.000,6.03710
61,1.10968,25.000,6.04355
61,1.11935,25.000,6.04516
62,1.11290,25.000,6.04516
63,1.11774,25.000,6.04032
63,1.11613,25.000,6.04032
64,1.11290,25.000,6.04194
64,1.11452,25.000,6.03871
65,1.11129,25.000,6.04355
65,1.11774,25.000,6.04032
66,1.11290,25.000,6.04677
67,1.10968,25.000,6.04194
67,1.10806,25.000,6.03871
68,1.10645,25.000,6.03387
68,1.11935,25.000,6.03548
69,1.11774,25.000,6.04516
69,1.11452,25.000,6.04032
69,1.11129,25.000,6.03548
70,1.11452,25.000,6.03387
70,1.10806,25.000,6.03871
71,1.10806,25.000,6.04677
72,1.11613,25.000,6.03226
72,1.11613,25.000,6.03548
73,1.11613,25.000,6.03548
73,1.11129,25.000,6.03548
74,1.11290,25.000,6.03387
75,1.11452,25.000,6.04032
75,1.11935,25.000,6.04032
76,1.11290,25.000,6.03871
76,1.12258,25.000,6.03871
77,1.10968,25.000,6.04194
78,1.10806,25.000,6.03871
78,1.11452,25.000,6.03548
79,1.10968,25.000,6.03548
79,1.10806,25.000,6.03871
80,1.10968,25.000,6.03065
81,1.11774,25.000,6.03387
81,1.11935,25.000,6.04194
82,1.12097,25.000,6.03871
82,1.11290,25.000,6.04032
83,1.10645,25.000,6.03871
84,1.11935,25.000,6.03871
84,1.10645,25.000,6.03065
85,1.11774,25.000,6.04032
85,1.12097,25.000,6.03871
86,1.10000,25.000,6.03387
87,1.11452,25.000,6.04032
87,1.11129,25.000,6.03548
88,1.11290,25.000,6.03871
88,1.11774,25.000,6.03548
89,1.11290,25.000,6.04032
90,1.11290,25.000,6.03226
90,1.11935,25.000,6.03871
91,1.11452,25.000,6.04032
91,1.11129,25.000,6.03387
92,1.11452,25.000,6.03548
93,1.11452,25.000,6.03871
93,1.10968,25.000,6.03710
94,1.11290,25.000,6.04032
