timestamp,tds_v,tempC,ph_v
20,1.95323,16.500,6.03226
21,1.96452,16.500,6.04194
21,1.95645,16.500,6.03871
22,1.94839,16.500,6.04355
22,1.95161,16.500,6.03065
23,1.95000,16.500,6.03548
24,1.95806,16.500,6.03065
24,1.95323,16.500,6.04194
25,1.95323,16.500,6.03548
26,1.95968,16.500,6.04355
26,1.95484,16.500,6.03387
27,1.95645,16.500,6.03710
27,1.95645,16.500,6.04032
28,1.96290,16.500,6.03710
28,1.95323,16.500,6.04194
28,1.95323,16.500,6.03871
29,1.95645,16.500,6.03710
30,1.95484,16.500,6.03387
30,1.95806,16.500,6.04355
31,1.95968,16.500,6.04516
31,1.95000,16.500,6.03387
32,1.95806,16.500,6.03387
33,1.95161,16.500,6.03226
33,1.95806,16.500,6.03065
34,1.91935,16.500,6.05000
34,1.95323,16.500,6.03871
35,1.94839,16.500,6.04032
36,1.95000,16.500,6.04032
36,1.95323,16.500,6.03387
37,1.95484,16.500,6.03871
37,1.95484,16.500,6.03710
38,1.95323,16.500,6.03710
39,1.95645,16.500,6.03871
39,1.95645,16.500,6.03871
40,1.94032,16.500,6.03871
40,1.96129,16.500,6.04194
41,1.95484,16.500,6.04516
42,1.95968,16.500,6.04194
42,1.99839,16.500,6.04194
43,1.95484,16.500,6.04516
44,1.95968,16.500,6.03871
44,1.95484,16.500,6.03226
45,1.95806,16.500,6.03548
45,1.94194,16.500,6.03710
46,1.95000,16.500,6.03710
47,1.97097,16.500,6.03710
47,1.95806,16.500,6.03871
48,1.95323,16.500,6.03387
48,1.95161,16.500,6.03871
49,1.95000,16.500,6.03710
50,1.95645,16.500,6.04194
50,1.95484,16.500,6.03548
51,1.95968,16.500,6.03710
51,1.95968,16.500,6.04032
52,1.95323,16.500,6.03871
53,1.95000,16.500,6.03548
53,1.95323,16.500,6.03710
54,1.95323,16.500,6.03710
54,1.96290,16.500,6.02581
55,1.96129,16.500,6.04355
56,1.95968,16.500,6.03710
56,1.95645,16.500,6.04032
57,1.95645,16.500,6.03871
57,1.95645,16.500,6.03548
58,1.94839,16.500,6.03548
59,1.95323,16.500,6.02903
59,1.96290,16.500,6.03710
60,1.95968,16.500,6.04032
61,1.95968,16.500,6.04194
61,1.95806,16.500,6.03871
62,1.93871,16.500,6.04516
62,1.95968,16.500,6.03710
63,1.95645,16.500,6.03710
64,1.95323,16.500,6.03065
64,1.94677,16.500,6.04355
65,1.93548,16.500,6.03871
65,1.95484,16.500,6.03387
66,1.95484,16.500,6.03710
67,1.95806,16.500,6.03387
67,1.94516,16.500,6.03871
68,1.96290,16.500,6.03710
68,1.95806,16.500,6.02903
69,1.95484,16.500,6.03710
70,1.95161,16.500,6.04032
70,1.95323,16.500,6.03710
70,1.95161,16.500,6.03226
70,1.95484,16.500,6.03226
71,1.95645,16.500,6.03387
72,1.95484,16.500,6.03871
72,1.95645,16.500,6.03710
73,1.96290,16.500,6.03710
73,1.95323,16.500,6.03710
74,1.94839,16.500,6.03387
75,1.95161,16.500,6.03548
75,1.95323,16.500,6.03065
76,1.95968,16.500,6.03226
76,1.95000,16.500,6.03548
77,1.95323,16.500,6.03387
77,1.95323,16.500,6.03871
78,1.95806,16.500,6.03387
79,1.95323,16.500,6.03710
