timestamp,tds_v,tempC,ph_v
20,1.87903,16.500,6.03710
21,1.92742,16.500,6.03871
21,1.91935,16.500,6.02903
22,1.91613,16.500,6.03710
22,1.90806,16.500,6.03871
23,1.91935,16.500,6.03548
24,1.92419,16.500,6.04355
24,1.93065,16.500,6.03871
25,1.92258,16.500,6.03387
25,1.92581,16.500,6.04516
26,1.92419,16.500,6.03710
27,1.91935,16.500,6.03387
27,1.93065,16.500,6.04194
28,1.92258,16.500,6.03710
29,1.90161,16.500,6.04355
29,1.92097,16.500,6.04194
30,1.91774,16.500,6.03871
30,1.92742,16.500,6.04194
31,1.92419,16.500,6.04677
32,1.91774,16.500,6.04677
32,1.92419,16.500,6.03871
33,1.92742,16.500,6.03710
33,1.91774,16.500,6.04032
34,1.91935,16.500,6.04032
35,1.92419,16.500,6.04194
35,1.91613,16.500,6.04677
36,1.92258,16.500,6.03871
37,1.92097,16.500,6.04194
37,1.88065,16.500,6.04677
37,1.92742,16.500,6.04355
37,1.92419,16.500,6.04677
38,1.91774,16.500,6.04677
39,1.91935,16.500,6.04032
39,1.92903,16.500,6.04194
40,1.91452,16.500,6.04032
40,1.92419,16.500,6.04194
41,1.91935,16.500,6.04032
42,1.92581,16.500,6.04032
42,1.96935,16.500,6.03710
43,1.93387,16.500,6.04516
43,1.92581,16.500,6.04355
44,1.92419,16.500,6.03871
45,1.92419,16.500,6.04032
45,1.93065,16.500,6.03710
46,1.89839,16.500,6.04355
46,1.91935,16.500,6.03871
47,1.92097,16.500,6.03871
48,1.92258,16.500,6.03226
48,1.92258,16.500,6.04032
49,1.92903,16.500,6.04677
50,1.91774,16.500,6.03871
50,1.92742,16.500,6.03871
51,1.91935,16.500,6.03548
51,1.92258,16.500,6.03871
52,1.91774,16.500,6.03871
53,1.91935,16.500,6.03871
53,1.92742,16.500,6.04194
54,1.92419,16.500,6.03871
54,1.91774,16.500,6.04355
55,1.92581,16.500,6.03871
56,1.91935,16.500,6.04194
56,1.92742,16.500,6.04194
57,1.91935,16.500,6.03387
57,1.92097,16.500,6.03548
58,1.90645,16.500,6.04194
59,1.92258,16.500,6.03710
59,1.92258,16.500,6.04032
60,1.91935,16.500,6.03710
60,1.92258,16.500,6.04516
61,1.91452,16.500,6.04355
62,1.92097,16.500,6.04677
62,1.91935,16.500,6.03548
63,1.91774,16.500,6.03548
63,1.91935,16.500,6.03226
64,1.92419,16.500,6.04677
65,1.93226,16.500,6.03548
65,1.92097,16.500,6.03710
66,1.92258,16.500,6.03387
67,1.92097,16.500,6.04677
67,1.91774,16.500,6.04355
68,1.92097,16.500,6.04355
68,1.92419,16.500,6.03548
69,1.92097,16.500,6.03710
70,1.91935,16.500,6.03226
70,1.92258,16.500,6.04032
71,1.92097,16.500,6.03548
71,1.89355,16.500,6.04677
72,1.91129,16.500,6.03065
73,1.89839,16.500,6.03871
73,1.92258,16.500,6.04355
74,1.91935,16.500,6.03710
74,1.92097,16.500,6.04355
75,1.91613,16.500,6.03871
76,1.92258,16.500,6.03871
76,1.92097,16.500,6.04194
77,1.92581,16.500,6.03548
77,1.92097,16.500,6.04194
78,1.91774,16.500,6.04516
79,1.91935,16.500,6.04032
79,1.92258,16.500,6.05323
79,1.92258,16.500,6.03871
79,1.93065,16.500,6.04355
80,1.92581,16.500,6.04032
81,1.92097,16.500,6.04032
81,1.92097,16.500,6.04516
82,1.92581,16.500,6.04194
82,1.91129,16.500,6.04032
83,1.92258,16.500,6.03710
84,1.91129,16.500,6.03710
84,1.91774,16.500,6.04839
85,1.92742,16.500,6.03710
86,1.92581,16.500,6.03548
86,1.91452,16.500,6.04194
87,1.92258,16.500,6.04032
87,1.91613,16.500,6.04355
88,1.92419,16.500,6.03871
89,1.91935,16.500,6.04194
89,1.92742,16.500,6.04194
90,1.88710,16.500,6.04839
90,1.91774,16.500,6.04516
91,1.92581,16.500,6.04516
92,1.92097,16.500,6.04194
92,1.91613,16.500,6.03065
93,1.92097,16.500,6.04194
93,1.91935,16.500,6.04355
94,1.91129,16.500,6.04516
