timestamp,tds_v,tempC,ph_v
20,1.94194,16.500,6.04355
21,1.94516,16.500,6.03548
21,1.92903,16.500,6.04194
22,1.94194,16.500,6.03871
22,1.95161,16.500,6.04194
23,1.93710,16.500,6.03871
24,1.94355,16.500,6.04032
24,1.94355,16.500,6.03548
25,1.94355,16.500,6.03871
25,1.93226,16.500,6.04839
26,1.94355,16.500,6.03387
27,1.93710,16.500,6.03387
27,1.94355,16.500,6.03548
28,1.93871,16.500,6.04032
29,1.94355,16.500,6.03387
29,1.94355,16.500,6.03226
30,1.93871,16.500,6.03548
30,1.93871,16.500,6.03871
31,1.94516,16.500,6.04032
32,1.93226,16.500,6.03226
32,1.93548,16.500,6.02903
33,1.93065,16.500,6.03226
33,1.94516,16.500,6.02903
34,1.94839,16.500,6.03387
35,1.93226,16.500,6.04032
35,1.94032,16.500,6.03548
36,1.93710,16.500,6.02742
36,1.95323,16.500,6.03548
37,1.93548,16.500,6.04194
38,1.94839,16.500,6.03548
38,1.93710,16.500,6.04032
39,1.95000,16.500,6.03871
39,1.94355,16.500,6.04677
40,1.94355,16.500,6.03548
41,1.94355,16.500,6.03710
41,1.93387,16.500,6.03710
41,1.95161,16.500,6.04355
42,1.94032,16.500,6.03548
42,1.94194,16.500,6.03710
43,1.93226,16.500,6.03226
43,1.93548,16.500,6.02742
44,1.93710,16.500,6.03871
45,1.92742,16.500,6.05000
45,1.93871,16.500,6.03710
46,1.94516,16.500,6.02903
46,1.95000,16.500,6.03871
47,1.94194,16.500,6.04032
48,1.94516,16.500,6.04194
48,1.94516,16.500,6.04355
49,1.93871,16.500,6.03548
49,1.94677,16.500,6.03065
50,1.94677,16.500,6.03548
51,1.93548,16.500,6.04194
51,1.94839,16.500,6.03226
52,1.94355,16.500,6.04032
53,1.94032,16.500,6.03710
53,1.94032,16.500,6.03871
54,1.93226,16.500,6.04516
54,1.93548,16.500,6.04032
55,1.92903,16.500,6.04032
56,1.93226,16.500,6.04677
56,1.94677,16.500,6.03387
57,1.94194,16.500,6.03871
57,1.94839,16.500,6.03387
58,1.94355,16.500,6.03871
59,1.94516,16.500,6.04032
59,1.94677,16.500,6.04194
60,1.93548,16.500,6.04516
60,1.94677,16.500,6.03871
61,1.95000,16.500,6.03226
62,1.93871,16.500,6.04194
62,1.93710,16.500,6.03871
63,1.94032,16.500,6.03548
64,1.94355,16.500,6.04032
64,1.92903,16.500,6.04032
65,1.93871,16.500,6.04032
65,1.94032,16.500,6.03548
66,1.92419,16.500,6.04032
67,1.94194,16.500,6.04355
67,1.94355,16.500,6.03710
68,1.97903,16.500,6.03710
68,1.94355,16.500,6.03710
69,1.94194,16.500,6.04032
70,1.94516,16.500,6.04194
70,1.94516,16.500,6.03226
71,1.94516,16.500,6.04194
71,1.93871,16.500,6.04194
72,1.94839,16.500,6.04516
73,1.94032,16.500,6.03710
73,1.95645,16.500,6.03710
74,1.91935,16.500,6.04032
75,1.93871,16.500,6.03871
75,1.93871,16.500,6.04355
76,1.94194,16.500,6.04032
76,1.93710,16.500,6.03548
77,1.94355,16.500,6.03710
78,1.92742,16.500,6.03387
78,1.93710,16.500,6.03548
79,1.94355,16.500,6.03548
79,1.93871,16.500,6.03871
80,1.94516,16.500,6.03871
81,1.93710,16.500,6.03871
81,1.93871,16.500,6.04194
82,1.94032,16.500,6.04032
82,1.93387,16.500,6.04194
82,1.93387,16.500,6.03710
83,1.94677,16.500,6.04032
83,1.95323,16.500,6.04194
84,1.93387,16.500,6.03710
84,1.93710,16.500,6.04355
85,1.93871,16.500,6.03226
86,1.94677,16.500,6.04032
86,1.95000,16.500,6.04194
87,1.94032,16.500,6.03226
87,1.94516,16.500,6.03548
88,1.94355,16.500,6.03065
89,1.93871,16.500,6.03387
89,1.94355,16.500,6.04032
90,1.95323,16.500,6.03871
90,1.95645,16.500,6.04032
91,1.94516,16.500,6.03871
92,1.94516,16.500,6.03387
92,1.94677,16.500,6.04516
93,1.93387,16.500,6.03548
94,1.94839,16.500,6.03548
