timestamp,tds_v,tempC,ph_v
20,1.10968,17.000,6.03548
20,1.12419,17.000,6.03548
21,1.12097,17.000,6.04355
22,1.11290,17.000,6.03548
22,1.11452,17.000,6.03871
23,1.11129,17.000,6.03548
23,1.12419,17.000,6.03871
24,1.10806,17.000,6.03387
24,1.11613,17.000,6.04032
24,1.10968,17.000,6.04194
25,1.11613,17.000,6.03871
25,1.12419,17.000,6.04194
26,1.09194,17.000,6.03710
27,1.12097,17.000,6.03226
27,1.11129,17.000,6.04194
28,1.11452,17.000,6.03710
28,1.12581,17.000,6.03548
29,1.12581,17.000,6.03871
30,1.12419,17.000,6.03387
30,1.11935,17.000,6.04355
31,1.11129,17.000,6.03387
31,1.12581,17.000,6.04194
32,1.12258,17.000,6.04194
33,1.11129,17.000,6.03548
33,1.12258,17.000,6.04516
34,1.13387,17.000,6.03871
34,1.11613,17.000,6.03710
35,1.11290,17.000,6.03548
36,1.11290,17.000,6.03226
36,1.12742,17.000,6.04032
37,1.11613,17.000,6.03871
38,1.12581,17.000,6.04032
38,1.11774,17.000,6.04194
39,1.12419,17.000,6.04032
39,1.12097,17.000,6.04516
40,1.08065,17.000,6.04032
41,1.12097,17.000,6.04032
41,1.11290,17.000,6.03548
42,1.11774,17.000,6.04194
42,1.13548,17.000,6.04032
43,1.12903,17.000,6.03871
44,1.11774,17.000,6.03548
44,1.13065,17.000,6.03387
45,1.11774,17.000,6.05000
45,1.10645,17.000,6.04677
46,1.11452,17.000,6.03871
47,1.11774,17.000,6.03871
47,1.11129,17.000,6.04355
48,1.11452,17.000,6.04194
48,1.12581,17.000,6.04677
49,1.11774,17.000,6.03226
50,1.11452,17.000,6.03548
50,1.11935,17.000,6.03387
51,1.11935,17.000,6.04355
51,1.09355,17.000,6.04194
52,1.12097,17.000,6.03710
53,1.11452,17.000,6.04032
53,1.11774,17.000,6.03710
54,1.12258,17.000,6.03710
54,1.10968,17.000,6.03065
55,1.12581,17.000,6.02903
56,1.11613,17.000,6.03710
56,1.11290,17.000,6.03548
57,1.11129,17.000,6.03871
58,1.11452,17.000,6.04032
58,1.11613,17.000,6.03226
59,1.12581,17.000,6.03710
59,1.13065,17.000,6.03387
60,1.11935,17.000,6.03871
61,1.13065,17.000,6.04355
61,1.12097,17.000,6.03387
62,1.11613,17.000,6.03710
62,1.12258,17.000,6.03710
63,1.11935,17.000,6.04032
64,1.11290,17.000,6.04355
64,1.11774,17.000,6.04355
65,1.12258,17.000,6.03871
65,1.12258,17.000,6.04194
66,1.11774,17.000,6.03871
66,1.11613,17.000,6.04194
66,1.10645,17.000,6.04032
67,1.11613,17.000,6.03710
68,1.10968,17.000,6.03387
68,1.11613,17.000,6.03387
69,1.12903,17.000,6.04194
69,1.11452,17.000,6.03871
70,1.11774,17.000,6.03065
71,1.11613,17.000,6.03387
71,1.11774,17.000,6.03871
72,1.10968,17.000,6.04032
72,1.12419,17.000,6.03387
73,1.10645,17.000,6.03871
74,1.11935,17.000,6.03226
74,1.11290,17.000,6.04516
75,1.12258,17.000,6.04194
75,1.11774,17.000,6.03871
76,1.12097,17.000,6.04032
77,1.11290,17.000,6.03548
77,1.11129,17.000,6.04032
78,1.12419,17.000,6.04032
78,1.13710,17.000,6.03548
79,1.12097,17.000,6.03871
80,1.11774,17.000,6.03710
80,1.12097,17.000,6.03387
81,1.11774,17.000,6.04032
81,1.11774,17.000,6.04032
82,1.11935,17.000,6.03548
83,1.12419,17.000,6.04194
83,1.13548,17.000,6.04355
84,1.12097,17.000,6.04516
84,1.11452,17.000,6.04516
85,1.11935,17.000,6.03710
86,1.11935,17.000,6.03710
86,1.12097,17.000,6.03871
87,1.11452,17.000,6.03871
87,1.11129,17.000,6.04032
88,1.11290,17.000,6.04839
89,1.11129,17.000,6.04032
89,1.11129,17.000,6.03226
90,1.11935,17.000,6.04355
90,1.11290,17.000,6.04032
91,1.10806,17.000,6.03871
92,1.10323,17.000,6.04355
92,1.12258,17.000,6.03548
93,1.12419,17.000,6.04194
93,1.10968,17.000,6.04355
94,1.11129,17.000,6.03548
