timestamp,tds_v,tempC,ph_v
20,1.94194,16.500,6.03548
21,1.94194,16.500,6.02742
21,1.94355,16.500,6.03871
22,1.93387,16.500,6.03387
23,1.93065,16.500,6.04516
23,1.94194,16.500,6.04032
24,1.94355,16.500,6.03387
24,1.94839,16.500,6.03710
25,1.94839,16.500,6.03710
26,1.94194,16.500,6.03871
26,1.94355,16.500,6.04355
27,1.94032,16.500,6.03548
27,1.93226,16.500,6.03871
27,1.94677,16.500,6.04194
28,1.94516,16.500,6.04032
28,1.94355,16.500,6.04194
29,1.94355,16.500,6.03871
29,1.95323,16.500,6.03548
30,1.95000,16.500,6.04355
31,1.93871,16.500,6.04194
31,1.94516,16.500,6.03710
32,1.94677,16.500,6.03710
33,1.95806,16.500,6.03548
33,1.94516,16.500,6.03871
34,1.94355,16.500,6.03710
34,1.94677,16.500,6.03548
35,1.94839,16.500,6.03710
36,1.94032,16.500,6.03065
36,1.94194,16.500,6.03226
37,1.94516,16.500,6.04355
37,1.94032,16.500,6.04194
38,1.94194,16.500,6.04516
39,1.94839,16.500,6.03871
39,1.94355,16.500,6.03871
40,1.94032,16.500,6.04355
40,1.95323,16.500,6.03871
41,1.95645,16.500,6.04032
42,1.94355,16.500,6.04032
42,1.94355,16.500,6.03871
43,1.94677,16.500,6.04516
43,1.94839,16.500,6.03548
44,1.94839,16.500,6.03710
45,1.94677,16.500,6.03710
45,1.95161,16.500,6.03387
46,1.95161,16.500,6.04355
46,1.95323,16.500,6.04516
47,1.94194,16.500,6.04194
48,1.94677,16.500,6.03710
48,1.93871,16.500,6.04032
49,1.94194,16.500,6.05000
50,1.94839,16.500,6.04032
50,1.94355,16.500,6.03387
51,1.94194,16.500,6.04194
51,1.94194,16.500,6.03065
52,1.93871,16.500,6.03871
53,1.93065,16.500,6.03871
53,1.94839,16.500,6.04677
54,1.93871,16.500,6.03710
54,1.94355,16.500,6.03548
55,1.93871,16.500,6.04355
56,1.93710,16.500,6.04194
56,1.94355,16.500,6.03226
57,1.94194,16.500,6.03710
57,1.94516,16.500,6.03548
58,1.94194,16.500,6.04355
59,1.94194,16.500,6.03387
59,1.95000,16.500,6.03710
60,1.94839,16.500,6.03548
60,1.94355,16.500,6.03387
61,1.92742,16.500,6.03871
62,1.93710,16.500,6.04032
62,1.93226,16.500,6.03387
63,1.94032,16.500,6.04194
64,1.93387,16.500,6.04194
64,1.94194,16.500,6.04355
65,1.94677,16.500,6.04032
65,1.94032,16.500,6.03387
66,1.95000,16.500,6.03710
67,1.94355,16.500,6.03387
67,1.94194,16.500,6.03871
68,1.96774,16.500,6.03226
68,1.94839,16.500,6.03871
69,1.95806,16.500,6.03226
69,1.94839,16.500,6.04355
69,1.94032,16.500,6.03871
70,1.94516,16.500,6.03548
70,1.94839,16.500,6.03548
71,1.93710,16.500,6.03548
72,1.94355,16.500,6.03226
72,1.94032,16.500,6.04032
73,1.94032,16.500,6.02903
73,1.93710,16.500,6.03226
74,1.94516,16.500,6.02742
75,1.94677,16.500,6.03065
75,1.94677,16.500,6.03710
76,1.94032,16.500,6.03226
76,1.93871,16.500,6.03871
77,1.95161,16.500,6.04355
78,1.95000,16.500,6.03710
78,1.94516,16.500,6.03710
79,1.94839,16.500,6.02903
79,1.94516,16.500,6.03710
80,1.94516,16.500,6.03548
81,1.94516,16.500,6.03387
81,1.94839,16.500,6.03871
82,1.94355,16.500,6.03871
83,1.94194,16.500,6.03871
83,1.95000,16.500,6.04194
84,1.92581,16.500,6.03065
84,1.94839,16.500,6.04516
85,1.94032,16.500,6.03387
86,1.94516,16.500,6.03871
86,1.94839,16.500,6.03226
87,1.94677,16.500,6.04194
87,1.94194,16.500,6.04194
88,1.94355,16.500,6.04032
89,1.94032,16.500,6.03871
89,1.94516,16.500,6.03871
90,1.94355,16.500,6.04516
90,1.95000,16.500,6.04032
91,1.94839,16.500,6.04032
92,1.94355,16.500,6.04032
92,1.94516,16.500,6.03226
93,1.94194,16.500,6.03387
93,1.94677,16.500,6.04194
94,1.93871,16.500,6.03387
